hospital_id,hospital_fns_id,region,21_value,22_value,hospital_discharge,diagnostic_tests,surgical_interventions,medical_consultations,21_value_normalized,22_value_normalized,hospital_discharge_normalized,diagnostic_tests_normalized,surgical_interventions_normalized,medical_consultations_normalized,GRD
101100,103,15,31761883.9,17635668.49,15196,915532.0,10576.0,2885.0,0.25,0.21,0.33,0.2,0.22,0.06,0.73
102100,203,1,44770963.56,24719727.63,16453,847461.0,12945.0,2199.0,0.36,0.3,0.36,0.19,0.27,0.04,0.76
103100,303,3,48124368.4,24191195.9,17785,980303.0,14840.0,0.0,0.38,0.3,0.39,0.21,0.31,0.0,0.83
103101,304,3,18239895.16,5472687.94,7782,428208.0,3083.0,0.0,0.13,0.06,0.17,0.09,0.06,0.0,0.62
104100,403,3,28705644.98,17713635.6,11483,544843.0,8405.0,0.0,0.22,0.21,0.25,0.12,0.17,0.0,0.74
105100,503,4,28690280.86,22143077.82,14935,1184727.0,14191.0,0.0,0.22,0.27,0.33,0.26,0.3,0.0,0.83
105101,504,4,31788279.74,22397916.95,14699,724991.0,17247.0,0.0,0.25,0.27,0.32,0.16,0.36,0.0,0.91
105102,505,4,18460833.02,9516578.81,9760,614435.0,8660.0,0.0,0.14,0.11,0.21,0.13,0.18,0.0,0.65
106100,603,5,53774570.66,33373115.4,25973,1137232.0,15751.0,0.0,0.43,0.41,0.57,0.25,0.33,0.0,0.92
106102,607,5,13306775.49,7016060.72,5647,1609247.0,3584.0,0.0,0.09,0.08,0.12,0.35,0.07,0.0,0.98
106103,604,5,13958962.03,8185703.91,9313,513761.0,4812.0,0.0,0.1,0.09,0.2,0.11,0.1,0.0,0.64
107100,703,5,54078981.87,47554030.15,21171,1913659.0,14880.0,0.0,0.43,0.6,0.46,0.42,0.31,0.0,1.1
107101,704,5,19404438.39,12602977.52,11190,1236123.0,9610.0,0.0,0.14,0.15,0.24,0.27,0.2,0.0,0.72
107102,705,5,16664856.37,7613504.56,7311,464691.0,6520.0,0.0,0.12,0.09,0.16,0.1,0.14,0.0,0.65
108100,803,5,18892727.22,9107992.53,11948,558114.0,11637.0,0.0,0.14,0.1,0.26,0.12,0.24,0.0,0.77
108101,804,5,14962663.77,7387436.22,9671,519487.0,9484.0,0.0,0.11,0.08,0.21,0.11,0.2,0.0,0.7
109100,2606,13,58210513.09,48006881.4,28204,3611204.0,42799.0,0.0,0.47,0.6,0.62,0.79,0.89,0.0,0.75
109101,2605,13,32479231.45,14643138.95,8319,514832.0,8166.0,0.0,0.25,0.18,0.18,0.11,0.17,0.0,1.03
109102,2608,13,13740792.53,6923193.56,2615,22631.0,0.0,0.0,0.1,0.08,0.05,0.0,0.0,0.0,
109103,2607,13,10529977.87,10953268.29,2605,268400.9,1918.0,0.0,0.07,0.13,0.05,0.06,0.04,0.0,
