te_input_crs,te_input_vrs,te_input_nirs,te_output_crs,te_output_vrs,te_output_nirs,te_directional_crs,te_directional_vrs,te_directional_nirs,te_input_region_crs,te_input_region_vrs,te_input_region_nirs,te_output_region_crs,te_output_region_vrs,te_output_region_nirs,te_directional_region_crs,te_directional_region_vrs,te_directional_region_nirs,te_input_grd_crs,te_input_grd_vrs,te_input_grd_nirs,te_output_grd_crs,te_output_grd_vrs,te_output_grd_nirs,te_directional_grd_crs,te_directional_grd_vrs,te_directional_grd_nirs
0,0.387,0.391,0.889,0.807,0.807,0.83,0.869,0.869,0.621,0.631,0.626,0.877,0.65,0.668,0.882,0.902,0.9,0,0.407,0.411,0.886,0.791,0.791,0.83,0.869,0.869
0.387,0,0.004,0.68,0.72,0.72,0.553,0.85,0.849,0.46,0.477,0.47,0.606,0.462,0.491,0.798,0.877,0.875,0.387,0.009,0.013,0.672,0.704,0.704,0.553,0.853,0.853
0.391,0.004,0,0.733,0.797,0.797,0.61,0.923,0.923,0.511,0.53,0.523,0.612,0.517,0.546,0.831,0.908,0.909,0.39,0.013,0.009,0.724,0.782,0.782,0.61,0.927,0.927
0.889,0.68,0.733,0,0.159,0.159,0.068,0.147,0.148,0.135,0.111,0.128,0.811,0.108,0.11,0.581,0.661,0.609,0.887,0.668,0.717,0.005,0.154,0.154,0.068,0.163,0.165
0.807,0.72,0.797,0.159,0,0,0.151,0.089,0.082,0.206,0.18,0.199,0.807,0.137,0.142,0.491,0.549,0.502,0.804,0.721,0.795,0.168,0.014,0.014,0.152,0.092,0.086
0.807,0.72,0.797,0.159,0,0,0.151,0.089,0.082,0.206,0.18,0.199,0.807,0.137,0.142,0.491,0.549,0.502,0.804,0.721,0.795,0.168,0.014,0.014,0.152,0.092,0.086
0.83,0.553,0.61,0.068,0.151,0.151,0,0.105,0.107,0.058,0.036,0.045,0.71,0.038,0.055,0.523,0.625,0.585,0.828,0.543,0.597,0.054,0.115,0.115,0,0.114,0.116
0.869,0.85,0.923,0.147,0.089,0.089,0.105,0,0,0.161,0.133,0.149,0.845,0.141,0.141,0.492,0.552,0.504,0.867,0.852,0.921,0.137,0.054,0.054,0.105,0.003,0.003
0.869,0.849,0.923,0.148,0.082,0.082,0.107,0,0,0.164,0.136,0.152,0.846,0.142,0.143,0.494,0.554,0.506,0.868,0.851,0.922,0.139,0.049,0.049,0.107,0.003,0.002
0.621,0.46,0.511,0.135,0.206,0.206,0.058,0.161,0.164,0,0.018,0.013,0.853,0.077,0.115,0.633,0.635,0.621,0.62,0.453,0.502,0.12,0.159,0.159,0.058,0.171,0.174
0.631,0.477,0.53,0.111,0.18,0.18,0.036,0.133,0.136,0.018,0,0.006,0.825,0.057,0.076,0.575,0.649,0.612,0.629,0.47,0.521,0.095,0.136,0.136,0.036,0.142,0.144
0.626,0.47,0.523,0.128,0.199,0.199,0.045,0.149,0.152,0.013,0.006,0,0.83,0.068,0.108,0.592,0.647,0.634,0.625,0.463,0.513,0.11,0.15,0.15,0.045,0.16,0.162
0.877,0.606,0.612,0.811,0.807,0.807,0.71,0.845,0.846,0.853,0.825,0.83,0,0.66,0.668,0.534,0.816,0.807,0.876,0.617,0.623,0.807,0.8,0.8,0.71,0.846,0.847
0.65,0.462,0.517,0.108,0.137,0.137,0.038,0.141,0.142,0.077,0.057,0.068,0.66,0,0.022,0.499,0.602,0.562,0.649,0.459,0.511,0.1,0.116,0.116,0.038,0.149,0.15
0.668,0.491,0.546,0.11,0.142,0.142,0.055,0.141,0.143,0.115,0.076,0.108,0.668,0.022,0,0.487,0.623,0.54,0.667,0.488,0.541,0.104,0.128,0.128,0.055,0.147,0.149
0.882,0.798,0.831,0.581,0.491,0.491,0.523,0.492,0.494,0.633,0.575,0.592,0.534,0.499,0.487,0,0.109,0.089,0.881,0.804,0.836,0.583,0.479,0.479,0.523,0.49,0.492
0.902,0.877,0.908,0.661,0.549,0.549,0.625,0.552,0.554,0.635,0.649,0.647,0.816,0.602,0.623,0.109,0,0.024,0.901,0.882,0.912,0.668,0.536,0.536,0.625,0.551,0.553
0.9,0.875,0.909,0.609,0.502,0.502,0.585,0.504,0.506,0.621,0.612,0.634,0.807,0.562,0.54,0.089,0.024,0,0.899,0.88,0.912,0.616,0.496,0.496,0.585,0.501,0.503
0,0.387,0.39,0.887,0.804,0.804,0.828,0.867,0.868,0.62,0.629,0.625,0.876,0.649,0.667,0.881,0.901,0.899,0,0.407,0.411,0.884,0.79,0.79,0.828,0.868,0.868
0.407,0.009,0.013,0.668,0.721,0.721,0.543,0.852,0.851,0.453,0.47,0.463,0.617,0.459,0.488,0.804,0.882,0.88,0.407,0,0.004,0.659,0.706,0.706,0.543,0.857,0.857
0.411,0.013,0.009,0.717,0.795,0.795,0.597,0.921,0.922,0.502,0.521,0.513,0.623,0.511,0.541,0.836,0.912,0.912,0.411,0.004,0,0.708,0.78,0.78,0.597,0.928,0.928
0.886,0.672,0.724,0.005,0.168,0.168,0.054,0.137,0.139,0.12,0.095,0.11,0.807,0.1,0.104,0.583,0.668,0.616,0.884,0.659,0.708,0,0.149,0.149,0.054,0.15,0.152
0.791,0.704,0.782,0.154,0.014,0.014,0.115,0.054,0.049,0.159,0.136,0.15,0.8,0.116,0.128,0.479,0.536,0.496,0.79,0.706,0.78,0.149,0,0,0.115,0.056,0.05
0.791,0.704,0.782,0.154,0.014,0.014,0.115,0.054,0.049,0.159,0.136,0.15,0.8,0.116,0.128,0.479,0.536,0.496,0.79,0.706,0.78,0.149,0,0,0.115,0.056,0.05
0.83,0.553,0.61,0.068,0.152,0.152,0,0.105,0.107,0.058,0.036,0.045,0.71,0.038,0.055,0.523,0.625,0.585,0.828,0.543,0.597,0.054,0.115,0.115,0,0.114,0.116
0.869,0.853,0.927,0.163,0.092,0.092,0.114,0.003,0.003,0.171,0.142,0.16,0.846,0.149,0.147,0.49,0.551,0.501,0.868,0.857,0.928,0.15,0.056,0.056,0.114,0,0
0.869,0.853,0.927,0.165,0.086,0.086,0.116,0.003,0.002,0.174,0.144,0.162,0.847,0.15,0.149,0.492,0.553,0.503,0.868,0.857,0.928,0.152,0.05,0.05,0.116,0,0
