te_input_crs,te_input_vrs,te_input_nirs,te_output_crs,te_output_vrs,te_output_nirs,te_directional_crs,te_directional_vrs,te_directional_nirs,te_input_region_crs,te_input_region_vrs,te_input_region_nirs,te_output_region_crs,te_output_region_vrs,te_output_region_nirs,te_directional_region_crs,te_directional_region_vrs,te_directional_region_nirs,te_input_grd_crs,te_input_grd_vrs,te_input_grd_nirs,te_output_grd_crs,te_output_grd_vrs,te_output_grd_nirs,te_directional_grd_crs,te_directional_grd_vrs,te_directional_grd_nirs
0,0.414,0.418,0.854,0.784,0.784,0.784,0.837,0.838,0.639,0.636,0.632,0.832,0.645,0.662,0.831,0.885,0.881,0,0.435,0.439,0.852,0.775,0.775,0.784,0.838,0.839
0.414,0,0.003,0.674,0.718,0.718,0.551,0.843,0.843,0.504,0.511,0.506,0.563,0.48,0.508,0.755,0.864,0.86,0.413,0.009,0.013,0.674,0.711,0.711,0.551,0.849,0.849
0.418,0.003,0,0.722,0.786,0.786,0.599,0.906,0.907,0.547,0.557,0.55,0.57,0.527,0.554,0.779,0.885,0.883,0.418,0.012,0.009,0.723,0.779,0.779,0.599,0.913,0.914
0.854,0.674,0.722,0,0.126,0.126,0.062,0.126,0.126,0.107,0.091,0.103,0.791,0.097,0.111,0.55,0.619,0.575,0.852,0.649,0.695,0.003,0.121,0.121,0.062,0.139,0.139
0.784,0.718,0.786,0.126,0,0,0.133,0.07,0.064,0.18,0.154,0.169,0.784,0.132,0.145,0.495,0.564,0.522,0.783,0.714,0.779,0.128,0.008,0.008,0.133,0.074,0.068
0.784,0.718,0.786,0.126,0,0,0.133,0.07,0.064,0.18,0.154,0.169,0.784,0.132,0.145,0.495,0.564,0.522,0.783,0.714,0.779,0.128,0.008,0.008,0.133,0.074,0.068
0.784,0.551,0.599,0.062,0.133,0.133,0,0.109,0.112,0.047,0.026,0.035,0.692,0.026,0.045,0.512,0.621,0.578,0.782,0.533,0.578,0.058,0.115,0.115,0,0.12,0.122
0.837,0.843,0.906,0.126,0.07,0.07,0.109,0,0,0.155,0.128,0.143,0.825,0.139,0.141,0.492,0.559,0.51,0.837,0.839,0.9,0.118,0.051,0.051,0.109,0.002,0.002
0.838,0.843,0.907,0.126,0.064,0.064,0.112,0,0,0.158,0.13,0.145,0.825,0.141,0.143,0.494,0.561,0.513,0.838,0.839,0.901,0.119,0.047,0.047,0.111,0.002,0.002
0.639,0.504,0.547,0.107,0.18,0.18,0.047,0.155,0.158,0,0.02,0.015,0.831,0.071,0.11,0.617,0.624,0.608,0.637,0.485,0.526,0.104,0.156,0.156,0.047,0.168,0.171
0.636,0.511,0.557,0.091,0.154,0.154,0.026,0.128,0.13,0.02,0,0.006,0.8,0.05,0.068,0.554,0.641,0.601,0.635,0.495,0.538,0.087,0.131,0.131,0.026,0.138,0.141
0.632,0.506,0.55,0.103,0.169,0.169,0.035,0.143,0.145,0.015,0.006,0,0.806,0.061,0.101,0.571,0.639,0.623,0.631,0.489,0.531,0.1,0.144,0.144,0.035,0.156,0.158
0.832,0.563,0.57,0.791,0.784,0.784,0.692,0.825,0.825,0.831,0.8,0.806,0,0.644,0.652,0.526,0.823,0.811,0.831,0.577,0.584,0.79,0.779,0.779,0.692,0.826,0.826
0.645,0.48,0.527,0.097,0.132,0.132,0.026,0.139,0.141,0.071,0.05,0.061,0.644,0,0.023,0.487,0.604,0.561,0.644,0.469,0.514,0.096,0.121,0.121,0.026,0.149,0.15
0.662,0.508,0.554,0.111,0.145,0.145,0.045,0.141,0.143,0.11,0.068,0.101,0.652,0.023,0,0.477,0.626,0.539,0.661,0.498,0.542,0.108,0.137,0.137,0.045,0.147,0.149
