te_input_crs,te_input_vrs,te_input_nirs,te_output_crs,te_output_vrs,te_output_nirs,te_directional_crs,te_directional_vrs,te_directional_nirs,te_input_region_crs,te_input_region_vrs,te_input_region_nirs,te_output_region_crs,te_output_region_vrs,te_output_region_nirs,te_directional_region_crs,te_directional_region_vrs,te_directional_region_nirs,te_input_grd_crs,te_input_grd_vrs,te_input_grd_nirs,te_output_grd_crs,te_output_grd_vrs,te_output_grd_nirs,te_directional_grd_crs,te_directional_grd_vrs,te_directional_grd_nirs
0,0.426,0.43,0.855,0.777,0.777,0.769,0.835,0.836,0.589,0.598,0.593,0.895,0.619,0.64,0.795,0.808,0.808,0,0.432,0.436,0.853,0.777,0.777,0.769,0.835,0.836
0.426,0,0.002,0.646,0.7,0.7,0.484,0.844,0.844,0.416,0.432,0.423,0.608,0.426,0.461,0.711,0.809,0.809,0.426,0.001,0.004,0.642,0.701,0.701,0.484,0.845,0.845
0.43,0.002,0,0.688,0.759,0.759,0.522,0.897,0.898,0.451,0.468,0.459,0.613,0.463,0.497,0.729,0.825,0.827,0.43,0.003,0.001,0.685,0.759,0.759,0.522,0.898,0.9
0.855,0.646,0.688,0,0.134,0.134,0.086,0.141,0.14,0.153,0.13,0.149,0.765,0.135,0.126,0.568,0.685,0.623,0.855,0.643,0.684,0.001,0.137,0.137,0.086,0.149,0.148
0.777,0.7,0.759,0.134,0,0,0.162,0.097,0.089,0.212,0.194,0.204,0.799,0.18,0.188,0.558,0.651,0.611,0.778,0.701,0.759,0.129,0.001,0.001,0.162,0.098,0.091
0.777,0.7,0.759,0.134,0,0,0.162,0.097,0.089,0.212,0.194,0.204,0.799,0.18,0.188,0.558,0.651,0.611,0.778,0.701,0.759,0.129,0.001,0.001,0.162,0.098,0.091
0.769,0.484,0.522,0.086,0.162,0.162,0,0.134,0.136,0.056,0.032,0.041,0.677,0.03,0.049,0.508,0.648,0.605,0.77,0.482,0.52,0.082,0.16,0.16,0,0.137,0.139
0.835,0.844,0.897,0.141,0.097,0.097,0.134,0,0,0.188,0.161,0.175,0.841,0.167,0.167,0.531,0.613,0.565,0.835,0.844,0.897,0.137,0.094,0.094,0.134,0.002,0.002
0.836,0.844,0.898,0.14,0.089,0.089,0.136,0,0,0.19,0.163,0.177,0.842,0.169,0.17,0.534,0.616,0.568,0.837,0.844,0.898,0.135,0.087,0.087,0.136,0.002,0.002
0.589,0.416,0.451,0.153,0.212,0.212,0.056,0.188,0.19,0,0.021,0.016,0.851,0.074,0.114,0.608,0.626,0.61,0.589,0.414,0.449,0.15,0.211,0.211,0.056,0.193,0.195
0.598,0.432,0.468,0.13,0.194,0.194,0.032,0.161,0.163,0.021,0,0.006,0.798,0.053,0.072,0.544,0.647,0.607,0.598,0.431,0.466,0.126,0.192,0.192,0.032,0.163,0.166
0.593,0.423,0.459,0.149,0.204,0.204,0.041,0.175,0.177,0.016,0.006,0,0.802,0.062,0.104,0.56,0.644,0.629,0.593,0.422,0.457,0.146,0.202,0.202,0.041,0.179,0.182
0.895,0.608,0.613,0.765,0.799,0.799,0.677,0.841,0.842,0.851,0.798,0.802,0,0.653,0.663,0.492,0.854,0.844,0.895,0.612,0.617,0.763,0.798,0.798,0.677,0.841,0.842
0.619,0.426,0.463,0.135,0.18,0.18,0.03,0.167,0.169,0.074,0.053,0.062,0.653,0,0.024,0.476,0.608,0.568,0.619,0.426,0.463,0.13,0.179,0.179,0.03,0.169,0.171
0.64,0.461,0.497,0.126,0.188,0.188,0.049,0.167,0.17,0.114,0.072,0.104,0.663,0.024,0,0.466,0.631,0.544,0.64,0.461,0.497,0.12,0.186,0.186,0.049,0.167,0.169
0.795,0.711,0.729,0.568,0.558,0.558,0.508,0.531,0.534,0.608,0.544,0.56,0.492,0.476,0.466,0,0.134,0.112,0.795,0.714,0.732,0.569,0.562,0.562,0.508,0.527,0.53
0.808,0.809,0.825,0.685,0.651,0.651,0.648,0.613,0.616,0.626,0.647,0.644,0.854,0.608,0.631,0.134,0,0.026,0.808,0.811,0.827,0.69,0.657,0.657,0.648,0.613,0.616
0.808,0.809,0.827,0.623,0.611,0.611,0.605,0.565,0.568,0.61,0.607,0.629,0.844,0.568,0.544,0.112,0.026,0,0.808,0.812,0.83,0.626,0.616,0.616,0.605,0.561,0.565
0,0.426,0.43,0.855,0.778,0.778,0.77,0.835,0.837,0.589,0.598,0.593,0.895,0.619,0.64,0.795,0.808,0.808,0,0.432,0.436,0.853,0.777,0.777,0.77,0.835,0.836
0.432,0.001,0.003,0.643,0.701,0.701,0.482,0.844,0.844,0.414,0.431,0.422,0.612,0.426,0.461,0.714,0.811,0.812,0.432,0,0.002,0.639,0.702,0.702,0.482,0.846,0.846
0.436,0.004,0.001,0.684,0.759,0.759,0.52,0.897,0.898,0.449,0.466,0.457,0.617,0.463,0.497,0.732,0.827,0.83,0.436,0.002,0,0.681,0.759,0.759,0.52,0.899,0.9
0.853,0.642,0.685,0.001,0.129,0.129,0.082,0.137,0.135,0.15,0.126,0.146,0.763,0.13,0.12,0.569,0.69,0.626,0.853,0.639,0.681,0,0.131,0.131,0.082,0.144,0.142
0.777,0.701,0.759,0.137,0.001,0.001,0.16,0.094,0.087,0.211,0.192,0.202,0.798,0.179,0.186,0.562,0.657,0.616,0.777,0.702,0.759,0.131,0,0,0.16,0.095,0.087
0.777,0.701,0.759,0.137,0.001,0.001,0.16,0.094,0.087,0.211,0.192,0.202,0.798,0.179,0.186,0.562,0.657,0.616,0.777,0.702,0.759,0.131,0,0,0.16,0.095,0.087
0.769,0.484,0.522,0.086,0.162,0.162,0,0.134,0.136,0.056,0.032,0.041,0.677,0.03,0.049,0.508,0.648,0.605,0.77,0.482,0.52,0.082,0.16,0.16,0,0.136,0.139
0.835,0.845,0.898,0.149,0.098,0.098,0.137,0.002,0.002,0.193,0.163,0.179,0.841,0.169,0.167,0.527,0.613,0.561,0.835,0.846,0.899,0.144,0.095,0.095,0.136,0,0
0.836,0.845,0.9,0.148,0.091,0.091,0.139,0.002,0.002,0.195,0.166,0.182,0.842,0.171,0.169,0.53,0.616,0.565,0.836,0.846,0.9,0.142,0.087,0.087,0.139,0,0
