te_input_crs,te_input_vrs,te_input_nirs,te_output_crs,te_output_vrs,te_output_nirs,te_directional_crs,te_directional_vrs,te_directional_nirs,te_input_region_crs,te_input_region_vrs,te_input_region_nirs,te_output_region_crs,te_output_region_vrs,te_output_region_nirs,te_directional_region_crs,te_directional_region_vrs,te_directional_region_nirs,te_input_grd_crs,te_input_grd_vrs,te_input_grd_nirs,te_output_grd_crs,te_output_grd_vrs,te_output_grd_nirs,te_directional_grd_crs,te_directional_grd_vrs,te_directional_grd_nirs
0,0.013,0.007,0.157,0.146,0.154,0.342,0.439,0.45,0.049,0.037,0.042,0.079,0.055,0.086,0.622,0.717,0.679,0.007,0.015,0.012,0.126,0.109,0.113,0.345,0.434,0.422
0.013,0,0.008,0.124,0.121,0.125,0.291,0.439,0.416,0.04,0.03,0.034,0.073,0.043,0.079,0.624,0.715,0.679,0.008,0.003,0.008,0.109,0.098,0.098,0.315,0.438,0.403
0.007,0.008,0,0.155,0.155,0.164,0.332,0.459,0.472,0.045,0.036,0.039,0.086,0.059,0.093,0.647,0.739,0.704,0.008,0.012,0.005,0.129,0.118,0.122,0.347,0.454,0.446
0.157,0.124,0.155,0,0.007,0.007,0.043,0.143,0.11,0.07,0.061,0.072,0.078,0.051,0.073,0.483,0.563,0.52,0.131,0.111,0.132,0.011,0.018,0.014,0.069,0.155,0.121
0.146,0.121,0.155,0.007,0,0.001,0.06,0.138,0.101,0.072,0.061,0.074,0.069,0.047,0.065,0.471,0.555,0.508,0.124,0.106,0.131,0.016,0.014,0.01,0.082,0.157,0.116
0.154,0.125,0.164,0.007,0.001,0,0.059,0.147,0.098,0.08,0.069,0.083,0.073,0.051,0.068,0.473,0.557,0.51,0.132,0.111,0.139,0.021,0.019,0.014,0.084,0.165,0.115
0.342,0.291,0.332,0.043,0.06,0.059,0,0.082,0.047,0.186,0.182,0.194,0.191,0.167,0.181,0.469,0.53,0.491,0.301,0.269,0.297,0.07,0.087,0.083,0.033,0.104,0.074
0.439,0.439,0.459,0.143,0.138,0.147,0.082,0,0.051,0.286,0.28,0.296,0.28,0.274,0.268,0.43,0.488,0.444,0.415,0.41,0.427,0.143,0.146,0.152,0.069,0.028,0.054
0.45,0.416,0.472,0.11,0.101,0.098,0.047,0.051,0,0.296,0.289,0.306,0.267,0.254,0.254,0.432,0.489,0.445,0.417,0.389,0.431,0.14,0.145,0.138,0.062,0.08,0.036
0.049,0.04,0.045,0.07,0.072,0.08,0.186,0.286,0.296,0,0.009,0.004,0.103,0.05,0.1,0.572,0.628,0.612,0.041,0.036,0.04,0.05,0.043,0.047,0.194,0.284,0.274
0.037,0.03,0.036,0.061,0.061,0.069,0.182,0.28,0.289,0.009,0,0.006,0.062,0.04,0.065,0.551,0.643,0.602,0.028,0.024,0.028,0.045,0.038,0.041,0.196,0.287,0.275
0.042,0.034,0.039,0.072,0.074,0.083,0.194,0.296,0.306,0.004,0.006,0,0.094,0.049,0.099,0.571,0.639,0.624,0.034,0.03,0.034,0.052,0.045,0.049,0.202,0.294,0.284
0.079,0.073,0.086,0.078,0.069,0.073,0.191,0.28,0.267,0.103,0.062,0.094,0,0.031,0.005,0.506,0.654,0.562,0.065,0.062,0.071,0.076,0.068,0.067,0.22,0.303,0.279
0.055,0.043,0.059,0.051,0.047,0.051,0.167,0.274,0.254,0.05,0.04,0.049,0.031,0,0.03,0.529,0.616,0.574,0.045,0.038,0.049,0.043,0.037,0.036,0.182,0.275,0.247
0.086,0.079,0.093,0.073,0.065,0.068,0.181,0.268,0.254,0.1,0.065,0.099,0.005,0.03,0,0.505,0.642,0.547,0.071,0.067,0.076,0.073,0.064,0.064,0.21,0.291,0.268
0.622,0.624,0.647,0.483,0.471,0.473,0.469,0.43,0.432,0.572,0.551,0.571,0.506,0.529,0.505,0,0.04,0.012,0.623,0.613,0.639,0.47,0.461,0.462,0.431,0.425,0.406
0.717,0.715,0.739,0.563,0.555,0.557,0.53,0.488,0.489,0.628,0.643,0.639,0.654,0.616,0.642,0.04,0,0.028,0.723,0.709,0.737,0.544,0.538,0.539,0.475,0.462,0.444
0.679,0.679,0.704,0.52,0.508,0.51,0.491,0.444,0.445,0.612,0.602,0.624,0.562,0.574,0.547,0.012,0.028,0,0.68,0.668,0.695,0.509,0.501,0.502,0.451,0.437,0.42
0.007,0.008,0.008,0.131,0.124,0.132,0.301,0.415,0.417,0.041,0.028,0.034,0.065,0.045,0.071,0.623,0.723,0.68,0,0.005,0.003,0.115,0.1,0.103,0.331,0.43,0.415
0.015,0.003,0.012,0.111,0.106,0.111,0.269,0.41,0.389,0.036,0.024,0.03,0.062,0.038,0.067,0.613,0.709,0.668,0.005,0,0.005,0.101,0.089,0.089,0.304,0.424,0.391
0.012,0.008,0.005,0.132,0.131,0.139,0.297,0.427,0.431,0.04,0.028,0.034,0.071,0.049,0.076,0.639,0.737,0.695,0.003,0.005,0,0.117,0.106,0.11,0.332,0.442,0.429
0.126,0.109,0.129,0.011,0.016,0.021,0.07,0.143,0.14,0.05,0.045,0.052,0.076,0.043,0.073,0.47,0.544,0.509,0.115,0.101,0.117,0,0.004,0.005,0.063,0.133,0.117
0.109,0.098,0.118,0.018,0.014,0.019,0.087,0.146,0.145,0.043,0.038,0.045,0.068,0.037,0.064,0.461,0.538,0.501,0.1,0.089,0.106,0.004,0,0.001,0.08,0.141,0.122
0.113,0.098,0.122,0.014,0.01,0.014,0.083,0.152,0.138,0.047,0.041,0.049,0.067,0.036,0.064,0.462,0.539,0.502,0.103,0.089,0.11,0.005,0.001,0,0.078,0.147,0.119
