te_input_crs,te_input_vrs,te_input_nirs,te_output_crs,te_output_vrs,te_output_nirs,te_directional_crs,te_directional_vrs,te_directional_nirs,te_input_region_crs,te_input_region_vrs,te_input_region_nirs,te_output_region_crs,te_output_region_vrs,te_output_region_nirs,te_directional_region_crs,te_directional_region_vrs,te_directional_region_nirs,te_input_grd_crs,te_input_grd_vrs,te_input_grd_nirs,te_output_grd_crs,te_output_grd_vrs,te_output_grd_nirs,te_directional_grd_crs,te_directional_grd_vrs,te_directional_grd_nirs
0,0.018,0.01,0.193,0.182,0.188,0.367,0.458,0.465,0.057,0.044,0.049,0.083,0.055,0.091,0.601,0.706,0.655,0.008,0.018,0.014,0.144,0.129,0.127,0.392,0.472,0.448
0.018,0,0.012,0.147,0.144,0.146,0.3,0.463,0.419,0.044,0.033,0.038,0.078,0.041,0.083,0.605,0.705,0.656,0.012,0.003,0.01,0.12,0.109,0.106,0.348,0.472,0.42
0.01,0.012,0,0.189,0.191,0.198,0.351,0.479,0.488,0.052,0.041,0.045,0.09,0.058,0.097,0.626,0.727,0.678,0.01,0.013,0.006,0.145,0.136,0.135,0.389,0.489,0.47
0.193,0.147,0.189,0,0.008,0.01,0.039,0.155,0.099,0.086,0.078,0.089,0.107,0.07,0.1,0.513,0.598,0.545,0.162,0.138,0.161,0.016,0.02,0.022,0.077,0.166,0.119
0.182,0.144,0.191,0.008,0,0.001,0.058,0.156,0.087,0.092,0.08,0.094,0.096,0.064,0.09,0.504,0.596,0.538,0.154,0.133,0.161,0.023,0.017,0.018,0.094,0.172,0.116
0.188,0.146,0.198,0.01,0.001,0,0.06,0.167,0.086,0.098,0.086,0.1,0.1,0.068,0.095,0.504,0.594,0.537,0.161,0.136,0.167,0.027,0.021,0.021,0.096,0.182,0.115
0.367,0.3,0.351,0.039,0.058,0.06,0,0.106,0.052,0.19,0.187,0.199,0.216,0.181,0.202,0.513,0.578,0.529,0.32,0.285,0.313,0.071,0.084,0.087,0.038,0.115,0.078
0.458,0.463,0.479,0.155,0.156,0.167,0.106,0,0.077,0.298,0.29,0.305,0.302,0.29,0.289,0.478,0.543,0.491,0.435,0.437,0.447,0.147,0.155,0.16,0.079,0.026,0.064
0.465,0.419,0.488,0.099,0.087,0.086,0.052,0.077,0,0.295,0.288,0.303,0.287,0.264,0.274,0.487,0.549,0.5,0.428,0.4,0.442,0.135,0.135,0.135,0.064,0.092,0.039
0.057,0.044,0.052,0.086,0.092,0.098,0.19,0.298,0.295,0,0.011,0.004,0.113,0.047,0.108,0.568,0.627,0.603,0.049,0.044,0.048,0.051,0.048,0.048,0.209,0.292,0.272
0.044,0.033,0.041,0.078,0.08,0.086,0.187,0.29,0.288,0.011,0,0.008,0.065,0.036,0.067,0.543,0.645,0.589,0.032,0.029,0.033,0.048,0.043,0.042,0.217,0.301,0.279
0.049,0.038,0.045,0.089,0.094,0.1,0.199,0.305,0.303,0.004,0.008,0,0.104,0.046,0.107,0.566,0.638,0.614,0.044,0.039,0.043,0.053,0.049,0.049,0.216,0.3,0.279
0.083,0.078,0.09,0.107,0.096,0.1,0.216,0.302,0.287,0.113,0.065,0.104,0,0.038,0.005,0.496,0.664,0.548,0.064,0.062,0.069,0.095,0.083,0.083,0.271,0.351,0.317
0.055,0.041,0.058,0.07,0.064,0.068,0.181,0.29,0.264,0.047,0.036,0.046,0.038,0,0.038,0.524,0.62,0.566,0.042,0.035,0.045,0.051,0.042,0.042,0.217,0.308,0.268
0.091,0.083,0.097,0.1,0.09,0.095,0.202,0.289,0.274,0.108,0.067,0.107,0.005,0.038,0,0.497,0.654,0.534,0.069,0.067,0.074,0.091,0.079,0.08,0.26,0.339,0.306
0.601,0.605,0.626,0.513,0.504,0.504,0.513,0.478,0.487,0.568,0.543,0.566,0.496,0.524,0.497,0,0.047,0.012,0.601,0.59,0.613,0.489,0.486,0.482,0.482,0.501,0.471
0.706,0.705,0.727,0.598,0.596,0.594,0.578,0.543,0.549,0.627,0.645,0.638,0.664,0.62,0.654,0.047,0,0.035,0.715,0.7,0.725,0.567,0.569,0.565,0.519,0.531,0.503
0.655,0.656,0.678,0.545,0.538,0.537,0.529,0.491,0.5,0.603,0.589,0.614,0.548,0.566,0.534,0.012,0.035,0,0.652,0.64,0.663,0.525,0.522,0.52,0.5,0.513,0.485
0.008,0.012,0.01,0.162,0.154,0.161,0.32,0.435,0.428,0.049,0.032,0.044,0.064,0.042,0.069,0.601,0.715,0.652,0,0.007,0.003,0.13,0.115,0.115,0.374,0.463,0.437
0.018,0.003,0.013,0.138,0.133,0.136,0.285,0.437,0.4,0.044,0.029,0.039,0.062,0.035,0.067,0.59,0.7,0.64,0.007,0,0.005,0.115,0.102,0.1,0.343,0.461,0.413
0.014,0.01,0.006,0.161,0.161,0.167,0.313,0.447,0.442,0.048,0.033,0.043,0.069,0.045,0.074,0.613,0.725,0.663,0.003,0.005,0,0.131,0.121,0.12,0.372,0.474,0.451
0.144,0.12,0.145,0.016,0.023,0.027,0.071,0.147,0.135,0.051,0.048,0.053,0.095,0.051,0.091,0.489,0.567,0.525,0.13,0.115,0.131,0,0.004,0.005,0.073,0.144,0.116
0.129,0.109,0.136,0.02,0.017,0.021,0.084,0.155,0.135,0.048,0.043,0.049,0.083,0.042,0.079,0.486,0.569,0.522,0.115,0.102,0.121,0.004,0,0.001,0.09,0.156,0.121
0.127,0.106,0.135,0.022,0.018,0.021,0.087,0.16,0.135,0.048,0.042,0.049,0.083,0.042,0.08,0.482,0.565,0.52,0.115,0.1,0.12,0.005,0.001,0,0.091,0.16,0.121
0.392,0.348,0.389,0.077,0.094,0.096,0.038,0.079,0.064,0.209,0.217,0.216,0.271,0.217,0.26,0.482,0.519,0.5,0.374,0.343,0.372,0.073,0.09,0.091,0,0.05,0.024
0.472,0.472,0.489,0.166,0.172,0.182,0.115,0.026,0.092,0.292,0.301,0.3,0.351,0.308,0.339,0.501,0.531,0.513,0.463,0.461,0.474,0.144,0.156,0.16,0.05,0,0.035
0.448,0.42,0.47,0.119,0.116,0.115,0.078,0.064,0.039,0.272,0.279,0.279,0.317,0.268,0.306,0.471,0.503,0.485,0.437,0.413,0.451,0.116,0.121,0.121,0.024,0.035,0
