DMUs,period,21_value_normalized,22_value_normalized,hospital_discharge_normalized,diagnostic_tests_normalized,surgical_interventions_normalized,medical_consultations_normalized
129100,2015,0.12,0.07,0.16,0.08,0.11,0.0
133150,2015,0.16,0.08,0.16,0.09,0.12,0.08
111101,2015,0.36,0.35,0.31,0.32,0.18,0.03
112106,2015,0.02,0.01,0.02,0.0,0.0,0.0
123100,2015,0.35,0.31,0.35,0.29,0.32,0.0
110120,2015,0.31,0.39,0.32,0.23,0.31,0.0
120101,2015,0.44,0.51,0.55,0.47,0.35,0.0
101100,2015,0.27,0.25,0.34,0.21,0.23,0.05
124105,2015,0.5,0.51,0.49,0.32,0.33,0.0
104100,2015,0.24,0.23,0.23,0.11,0.16,0.0
112103,2015,0.11,0.25,0.1,0.1,0.04,0.0
108101,2015,0.11,0.1,0.2,0.11,0.2,0.0
117102,2015,0.09,0.07,0.15,0.08,0.13,0.0
112105,2015,0.01,0.02,0.08,0.0,0.0,0.0
111100,2015,0.54,0.88,0.48,0.56,0.35,0.11
122100,2015,0.38,0.44,0.44,0.42,0.31,0.04
108100,2015,0.14,0.1,0.25,0.12,0.21,0.0
117101,2015,0.4,0.35,0.45,0.32,0.4,0.0
110100,2015,0.48,0.71,0.52,0.79,0.41,0.0
102100,2015,0.37,0.29,0.37,0.2,0.27,0.05
119101,2015,0.06,0.03,0.08,0.09,0.09,0.14
105102,2015,0.14,0.11,0.2,0.15,0.19,0.0
118106,2015,0.07,0.03,0.11,0.09,0.06,0.25
116108,2015,0.17,0.11,0.33,0.18,0.23,0.07
114101,2015,0.82,0.71,0.9,0.61,0.65,0.17
105101,2015,0.26,0.26,0.3,0.16,0.3,0.0
116105,2015,0.43,0.44,0.42,0.52,0.33,0.0
107101,2015,0.15,0.16,0.25,0.2,0.2,0.0
113100,2015,0.61,0.67,0.59,0.72,0.5,0.13
112104,2015,0.1,0.14,0.08,0.05,0.06,0.0
119100,2015,0.4,0.46,0.45,0.39,0.34,0.0
113130,2015,0.16,0.12,0.15,0.08,0.14,0.0
107100,2015,0.46,0.62,0.48,0.46,0.35,0.0
129106,2015,0.13,0.09,0.16,0.08,0.11,0.04
133150,2016,0.17,0.1,0.15,0.1,0.12,0.04
110100,2016,0.52,0.68,0.52,0.8,0.42,0.0
114105,2016,0.42,0.5,0.32,0.17,0.26,0.04
113100,2016,0.64,0.68,0.59,0.78,0.48,0.12
114103,2016,0.36,0.34,0.39,0.42,0.22,0.02
109102,2016,0.12,0.08,0.06,0.01,0.0,0.0
118106,2016,0.08,0.04,0.09,0.09,0.06,0.21
111195,2016,0.42,0.34,0.17,0.19,0.24,0.07
103101,2016,0.15,0.11,0.18,0.11,0.07,0.0
113130,2016,0.17,0.13,0.15,0.08,0.13,0.0
111100,2016,0.57,0.8,0.5,0.57,0.33,0.13
112101,2016,0.2,0.19,0.35,0.02,0.18,0.0
111101,2016,0.44,0.4,0.34,0.37,0.22,0.05
124105,2016,0.55,0.55,0.5,0.35,0.36,0.0
118105,2016,0.1,0.04,0.15,0.13,0.11,0.31
112105,2016,0.01,0.01,0.07,0.0,0.0,0.0
110110,2016,0.06,0.11,0.07,0.05,0.15,0.0
112103,2016,0.11,0.26,0.1,0.11,0.03,0.0
112100,2016,0.37,0.73,0.2,0.39,0.33,0.0
104100,2016,0.25,0.24,0.23,0.13,0.17,0.0
112104,2016,0.11,0.15,0.08,0.06,0.07,0.0
120101,2016,0.47,0.54,0.52,0.48,0.34,0.07
112102,2016,0.24,0.34,0.2,0.2,0.17,0.0
112106,2016,0.02,0.01,0.02,0.0,0.0,0.0
101100,2016,0.28,0.26,0.34,0.23,0.24,0.05
126100,2016,0.32,0.29,0.25,0.16,0.17,0.0
110150,2016,0.12,0.08,0.15,0.12,0.13,0.02
108101,2016,0.12,0.1,0.2,0.1,0.2,0.0
122100,2016,0.4,0.49,0.43,0.44,0.31,0.04
106102,2016,0.1,0.07,0.12,0.28,0.07,0.0
115100,2016,0.45,0.62,0.36,0.35,0.33,0.08
115107,2016,0.11,0.13,0.19,0.11,0.15,0.0
116108,2016,0.19,0.12,0.31,0.19,0.23,0.01
103100,2016,0.42,0.4,0.41,0.27,0.37,0.0
107102,2016,0.14,0.09,0.15,0.08,0.12,0.04
129106,2016,0.13,0.09,0.16,0.09,0.1,0.04
105101,2016,0.27,0.26,0.28,0.17,0.3,0.0
116100,2016,0.23,0.26,0.3,0.44,0.3,0.0
106100,2016,0.48,0.44,0.53,0.29,0.35,0.0
125100,2016,0.3,0.2,0.2,0.22,0.12,0.0
119100,2016,0.42,0.46,0.44,0.41,0.34,0.0
107100,2016,0.47,0.68,0.42,0.49,0.35,0.0
114101,2016,0.84,0.82,0.92,0.64,0.66,0.15
116105,2016,0.5,0.48,0.45,0.56,0.36,0.0
110120,2016,0.34,0.42,0.33,0.24,0.32,0.0
109100,2016,0.52,0.5,0.55,0.81,0.89,0.0
119101,2016,0.06,0.03,0.08,0.1,0.08,0.15
