DMUs,period,21_value_normalized,22_value_normalized,hospital_discharge_normalized,diagnostic_tests_normalized,surgical_interventions_normalized,medical_consultations_normalized
108100,2021,0.19,0.14,0.17,0.21,0.14,0.0
105102,2021,0.28,0.25,0.16,0.33,0.16,0.0
105101,2021,0.38,0.41,0.26,0.24,0.26,0.0
105100,2021,0.39,0.42,0.25,0.35,0.22,0.0
104100,2021,0.29,0.29,0.24,0.22,0.2,0.0
103101,2021,0.25,0.16,0.18,0.21,0.1,0.0
103100,2021,0.66,1.0,0.4,0.55,0.31,0.0
102100,2021,0.53,0.35,0.35,0.41,0.28,0.05
101100,2021,0.32,0.3,0.32,0.37,0.28,0.08
107100,2021,0.6,0.7,0.35,0.39,0.25,0.0
129106,2021,0.16,0.11,0.12,0.15,0.09,0.08
112103,2021,0.14,0.31,0.07,0.14,0.04,0.0
111195,2021,0.58,0.4,0.23,0.37,0.21,0.11
120101,2021,0.02,0.01,0.44,0.68,0.27,0.01
118106,2021,0.1,0.05,0.06,0.14,0.05,0.17
118105,2021,0.13,0.05,0.11,0.15,0.04,0.19
118100,2021,1.0,0.97,0.56,0.92,0.49,0.35
119100,2021,0.52,0.56,0.34,0.62,0.32,0.0
119101,2021,0.09,0.06,0.06,0.16,0.05,0.03
117101,2021,0.52,0.41,0.36,0.5,0.36,0.06
117102,2021,0.14,0.11,0.13,0.16,0.11,0.0
116108,2021,0.21,0.2,0.21,0.35,0.2,0.0
116105,2021,0.64,0.61,0.49,0.88,0.44,0.0
116100,2021,0.26,0.36,0.23,0.53,0.21,0.0
110100,2021,0.59,0.83,0.39,0.89,0.32,0.0
115107,2021,0.16,0.2,0.13,0.2,0.14,0.0
110150,2021,0.13,0.11,0.13,0.16,0.1,0.02
106103,2021,0.14,0.14,0.13,0.15,0.06,0.0
113180,2021,0.3,0.25,0.26,0.35,0.17,0.0
114101,2021,0.08,0.04,0.81,0.82,0.7,0.0
114103,2021,0.4,0.44,0.29,0.49,0.16,0.03
114105,2021,0.06,0.07,0.31,0.25,0.21,0.06
111101,2021,0.59,0.52,0.33,0.57,0.24,0.16
112101,2021,0.25,0.2,0.29,0.02,0.14,0.0
113100,2021,0.7,0.86,0.61,0.78,0.47,0.17
111100,2021,0.64,0.6,0.16,0.31,0.16,0.09
112105,2021,0.02,0.01,0.0,0.0,0.0,0.0
115100,2021,0.61,0.56,0.42,0.63,0.4,0.12
126100,2021,0.39,0.36,0.2,0.23,0.17,0.0
