hospital_id,hospital_fns_id,region,row_index,21_value,22_value
101100,103,15,7943,23266444,13588519
102100,203,1,7946,31014400,15704142
103100,303,3,7950,34181451,17765183
103101,304,3,7951,12636974,4965187
104100,403,3,7958,20352973,12755945
105100,503,4,7965,19512169,14253415
105101,504,4,7966,21773376,14295737
105102,505,4,7967,12541926,6215066
108100,803,5,7997,12632984,6005067
108101,804,5,7998,10313283,5587651
107101,704,5,7985,13712459,8749505
107100,703,5,7984,38140479,32785216
106100,603,5,7976,36973674,24846610
107102,705,5,7986,11585244,4879390
106102,607,5,7980,8789874,4804840
110120,2708,13,8195,26295988,20743304
109101,2605,13,8184,22171501,10497970
109100,2606,13,8185,40503837,27225198
112102,2304,13,8159,19016128,18796878
112100,2306,13,8161,29165632,41610164
112104,2308,13,8163,9565585,7774173
112103,2303,13,8158,9821379,13455105
110100,2709,13,8196,39901477,37422745
111195,2405,13,8170,32905541,17331995
111100,2404,13,8169,44657255,46689070
113130,2505,13,8176,14058971,7061737
113100,2503,13,8174,49983016,35378270
112101,2305,13,8160,16009128,11690273
111101,2406,13,8171,30137508,18959262
114103,3001,13,8206,28265460,18020991
114101,2805,13,8202,67096400,37801048
113180,2508,13,8179,19801315,10321891
106103,604,5,7977,9357523,5594916
110150,2705,13,8192,10318322,4578776
115100,903,6,8007,33339723,27476049
115107,9010,6,8014,9767850,5395003
116100,1003,7,8024,18274442,12635210
116105,1008,7,8029,35861911,23288670
116108,10011,7,8032,14920324,6375037
117102,1104,16,8040,8983856,4249254
117101,1103,16,8039,33178717,18710918
119100,1303,8,8060,33139909,24348725
118100,1203,8,8050,62070518,46380000
118105,1205,8,8052,9052656,2431086
120101,1405,8,8068,36598988,27082138
129100,1603,9,8082,10826403,4125447
129106,1604,9,8083,11768822,5219744
121109,17016,9,8104,50213667,39670003
122100,1803,14,8107,31657539,23785821
123100,1903,10,8117,29405806,16529623
124105,20011,10,8133,41129908,27169136
133150,3302,10,8210,13827905,4867959
125100,2107,11,8141,23501725,8852133
126100,2205,12,8149,25512039,15118230
