hospital_id,hospital_fns_id,region,21_value,22_value,hospital_discharge,diagnostic_tests,surgical_interventions,medical_consultations,21_value_normalized,22_value_normalized,hospital_discharge_normalized,diagnostic_tests_normalized,surgical_interventions_normalized,medical_consultations_normalized,GRD
101100,103,15,36666453.0,22610577.0,13845.0,1221029.0,9081.0,2583.0,0.31,0.3,0.26,0.26,0.16,0.05,0.98
102100,203,1,50593476.0,22542086.0,15713.0,1312964.0,12834.0,1886.0,0.44,0.29,0.31,0.28,0.25,0.04,0.95
103100,303,3,72713992.0,58421587.0,16654.0,2041820.0,12116.0,0.0,0.64,0.8,0.33,0.44,0.23,0.0,1.16
103101,304,3,29206747.0,13406369.0,9146.0,777862.0,4188.0,0.0,0.24,0.17,0.16,0.16,0.06,0.0,0.93
104100,403,3,30935922.0,19262895.0,10434.0,808407.0,7504.0,0.0,0.26,0.25,0.18,0.17,0.13,0.0,0.85
105100,503,4,39677943.0,25996929.0,10610.0,1167277.0,7703.0,0.0,0.34,0.34,0.19,0.25,0.14,0.0,1.04
105101,504,4,42124891.0,25849170.0,11531.0,845822.0,9414.0,0.0,0.36,0.34,0.21,0.18,0.17,0.0,1.06
105102,505,4,31545087.0,15982324.0,7028.0,965632.0,6418.0,0.0,0.26,0.2,0.11,0.2,0.11,0.0,0.92
106100,603,5,55729668.0,31398383.0,12749.0,1239822.0,8831.0,0.0,0.49,0.42,0.24,0.26,0.16,0.0,1.15
106102,607,5,13850893.0,8599123.0,3628.0,636054.0,2654.0,0.0,0.1,0.1,0.03,0.13,0.03,0.0,1.26
106103,604,5,13931330.0,7955457.0,5403.0,469346.0,2830.0,0.0,0.1,0.09,0.07,0.09,0.03,0.0,0.77
107100,703,5,63448444.0,56035495.0,16476.0,1598317.0,12647.0,0.0,0.56,0.76,0.32,0.34,0.24,0.0,1.25
107101,704,5,22939929.0,17201007.0,7828.0,973744.0,6725.0,0.0,0.18,0.22,0.12,0.21,0.11,0.0,0.9
107102,705,5,19335026.0,10228260.0,6106.0,449506.0,4353.0,1186.0,0.15,0.12,0.08,0.09,0.06,0.02,0.83
108100,803,5,21192911.0,9689381.0,8460.0,785479.0,7579.0,0.0,0.17,0.12,0.14,0.16,0.13,0.0,0.93
108101,804,5,17133722.0,8979426.0,6807.0,466177.0,6918.0,0.0,0.13,0.11,0.1,0.09,0.12,0.0,0.91
109100,2606,13,66097123.0,48052916.0,21955.0,3305399.0,36561.0,0.0,0.58,0.65,0.45,0.72,0.75,0.0,0.97
109101,2605,13,32194763.0,13792318.0,4966.0,539246.0,4860.0,0.0,0.27,0.17,0.06,0.11,0.07,0.0,1.33
110100,2709,13,65140354.0,56204172.0,16896.0,3695001.0,16877.0,62.0,0.57,0.76,0.33,0.81,0.33,0.0,1.29
110120,2708,13,57370976.0,28615832.0,14910.0,1352143.0,13112.0,0.0,0.5,0.38,0.29,0.29,0.25,0.0,1.02
110150,2705,13,16584128.0,7683504.0,5921.0,562373.0,4688.0,1946.0,0.13,0.09,0.08,0.12,0.07,0.04,0.77
111100,2404,13,71731590.0,49630187.0,16936.0,2041019.0,11756.0,5149.0,0.64,0.67,0.34,0.44,0.22,0.1,1.01
111101,2406,13,62283071.0,36391847.0,14797.0,2026250.0,9443.0,4477.0,0.55,0.49,0.29,0.44,0.17,0.09,1.15
111195,2405,13,54516968.0,26228418.0,8789.0,1340564.0,9066.0,3921.0,0.48,0.35,0.15,0.29,0.16,0.08,1.67
112100,2306,13,49046468.0,72476716.0,10078.0,1871320.0,12384.0,0.0,0.43,0.99,0.18,0.4,0.24,0.0,1.41
112101,2305,13,26360265.0,17422394.0,13910.0,74320.0,5943.0,0.0,0.22,0.22,0.27,0.01,0.1,0.0,0.87
112102,2304,13,30779397.0,24100152.0,5308.0,758040.0,5045.0,0.0,0.26,0.32,0.07,0.16,0.08,0.0,1.63
112103,2303,13,15940491.0,22117463.0,2848.0,502104.0,1382.0,0.0,0.12,0.29,0.01,0.1,0.0,0.0,2.31
112104,2308,13,13380060.0,10426242.0,2446.0,253033.0,2623.0,0.0,0.1,0.13,0.0,0.05,0.03,0.0,1.97
113100,2503,13,77802979.0,59568622.0,26714.0,3421955.0,20159.0,7307.0,0.69,0.81,0.56,0.75,0.4,0.14,1.09
113130,2505,13,25155418.0,12164222.0,4865.0,336489.0,3829.0,2303.0,0.2,0.15,0.06,0.07,0.05,0.04,1.15
113180,2508,13,33579922.0,18782242.0,11828.0,1454381.0,8016.0,0.0,0.28,0.24,0.22,0.31,0.14,0.0,0.97
114101,2805,13,111125367.0,73082444.0,32035.0,2887421.0,26618.0,0.0,1.0,1.0,0.69,0.63,0.54,0.0,1.15
114103,3001,13,45969194.0,28243902.0,14097.0,1977039.0,8237.0,1852.0,0.4,0.37,0.27,0.43,0.15,0.04,0.97
115100,903,6,65696442.0,39467625.0,19075.0,2106721.0,17498.0,7353.0,0.58,0.53,0.39,0.46,0.35,0.14,1.17
115107,9010,6,17238737.0,13955989.0,5981.0,622599.0,5254.0,0.0,0.13,0.17,0.08,0.13,0.08,0.0,1.0
116100,1003,7,29055962.0,23233345.0,11726.0,1641143.0,10725.0,0.0,0.24,0.3,0.21,0.35,0.2,0.0,0.92
116105,1008,7,68871066.0,42097766.0,22417.0,2821455.0,19580.0,0.0,0.61,0.57,0.46,0.61,0.39,0.0,1.15
116108,10011,7,24382729.0,13343015.0,10025.0,1002889.0,7849.0,0.0,0.2,0.17,0.18,0.21,0.14,0.0,0.9
117101,1103,16,56105971.0,29989268.0,15819.0,1724095.0,14013.0,3196.0,0.49,0.4,0.31,0.37,0.27,0.06,0.98
117102,1104,16,16314249.0,7639487.0,5834.0,555383.0,4684.0,2434.0,0.12,0.09,0.08,0.11,0.07,0.05,0.79
118100,1203,8,104027944.0,64952563.0,22485.0,3438565.0,17985.0,11638.0,0.93,0.89,0.46,0.75,0.36,0.23,1.3
118105,1205,8,14696616.0,4693738.0,5124.0,531094.0,2890.0,6956.0,0.11,0.05,0.06,0.11,0.03,0.14,0.7
119100,1303,8,55960267.0,37508006.0,15817.0,2113472.0,12358.0,0.0,0.49,0.5,0.31,0.46,0.24,0.0,1.06
120101,1405,8,4112173.0,1854248.0,19704.0,2229796.0,13290.0,2813.0,0.01,0.01,0.4,0.48,0.25,0.05,0.99
121109,17016,9,79170596.0,64664442.0,21485.0,2244466.0,17218.0,5242.0,0.7,0.88,0.44,0.49,0.34,0.1,1.15
122100,1803,14,49906891.0,38923057.0,15258.0,1709677.0,13442.0,4299.0,0.43,0.52,0.3,0.37,0.26,0.08,1.05
123100,1903,10,46211245.0,29381733.0,13559.0,1859968.0,14713.0,0.0,0.4,0.39,0.26,0.4,0.29,0.0,0.97
124105,20011,10,75943962.0,50918757.0,19900.0,2007573.0,14831.0,5299.0,0.67,0.69,0.4,0.43,0.29,0.1,1.06
125100,2107,11,34761656.0,15935599.0,7014.0,910923.0,3793.0,0.0,0.29,0.2,0.11,0.19,0.05,0.0,0.93
126100,2205,12,44747978.0,25644951.0,7945.0,757734.0,5744.0,0.0,0.39,0.34,0.13,0.16,0.09,0.0,1.17
129100,1603,9,21169088.0,8589320.0,5736.0,424995.0,3221.0,7233.0,0.17,0.1,0.08,0.08,0.04,0.14,0.83
129106,1604,9,18628624.0,7946065.0,5154.0,427688.0,3423.0,2786.0,0.14,0.09,0.06,0.09,0.04,0.05,0.88
133150,3302,10,22558213.0,7819690.0,5828.0,543613.0,5094.0,1639.0,0.18,0.09,0.08,0.11,0.08,0.03,0.84
