IdEstablecimiento","OriginalGRD","Prediction"
101100,0.97711,0.976423133668274
102100,1.03579,1.14135920007928
103100,1.1809,1.17970382848496
103101,1.01062,0.972172952661186
103102,NA,0.932102294786173
103103,NA,0.932102294786173
103104,NA,0.932102294786173
104100,0.95309,1.05443982067035
104101,NA,0.932102294786173
104102,NA,0.932102294786173
104103,0.89139,0.95059180064481
104104,NA,0.932270496059366
105100,1.06561,1.14221200513018
105101,1.10134,1.05473686844193
105102,1.01084,0.982952326931369
105103,NA,0.939725018320466
105104,NA,0.932102294786173
105105,NA,0.932102294786173
105106,NA,0.932102294786173
105107,NA,0.932102294786173
105108,NA,0.932102294786173
106100,1.21506,1.16789260468718
106102,1.50909,1.04631585146767
106103,0.8612,0.945175543715526
106104,NA,0.932102294786173
106105,NA,0.932102294786173
107100,1.3798,1.10203737360013
107101,0.96406,0.98675981023183
107102,0.85967,0.947110150349001
107103,NA,0.932102294786173
107104,NA,0.928398816390662
107105,NA,0.932141107383767
107106,NA,0.932102294786173
107107,NA,0.932102294786173
107108,NA,0.932102294786173
107109,NA,0.936109524001701
107110,NA,0.932102294786173
108100,1.00689,1.01463113607163
108101,0.96879,1.00516684101978
108102,NA,0.932102294786173
108104,NA,0.932102294786173
108105,NA,0.932102294786173
109100,1.02832,1.2106062541454
109101,1.18232,1.02735710628072
109102,NA,0.932102294786173
109103,NA,1.03893333540143
109104,NA,0.928398816390662
110100,1.22921,1.21418056716461
110110,NA,0.932102294786173
110120,1.03548,1.09986611054499
110130,1.05474,0.977742264104517
110140,NA,0.932102294786173
110150,0.84473,0.94777202404415
110160,NA,0.932102294786173
111100,1.11142,1.12751890029859
111101,1.18183,1.15911451913387
111195,1.78467,1.08663238261898
111351,NA,0.932102294786173
112100,1.1478,1.05406125761625
112101,0.96337,1.01549169117146
112102,1.41813,1.0831132757005
112103,2.66683,1.08008668903577
112104,2.05092,1.01215147090426
112105,NA,0.932154045327305
112106,NA,0.936395063771001
112107,NA,0.932102294786173
113100,1.12991,1.10796498480048
113130,1.0068,0.955345663738008
113150,0.79225,0.943214808986151
113160,NA,0.938765281484388
113170,NA,0.932102294786173
113180,962,1.05953471418809
113190,NA,0.957590136158063
