te_input_crs,te_input_vrs,te_input_nirs,te_output_crs,te_output_vrs,te_output_nirs,te_input_crs_grd,te_input_vrs_grd,te_input_nirs_grd,te_output_crs_grd,te_output_vrs_grd,te_output_nirs_grd,te_input_crs_region,te_input_vrs_region,te_input_nirs_region,te_output_crs_region,te_output_vrs_region,te_output_nirs_region
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.714,0.714,0.714
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.714,0.714,0.714
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.714,0.714,0.714
0,0,0,0,0,0,0,0,0,0,0,0,0.714,0.714,0.714,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.714,0.714,0.714,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.714,0.714,0.714,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.714,0.714,0.714
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.714,0.714,0.714
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.714,0.714,0.714
0,0,0,0,0,0,0,0,0,0,0,0,0.714,0.714,0.714,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.714,0.714,0.714,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.714,0.714,0.714,0,0,0
1,1,1,0.714,0.714,0.714,1,1,1,0.714,0.714,0.714,0,0,0,0,0,0
1,1,1,0.714,0.714,0.714,1,1,1,0.714,0.714,0.714,0,0,0,0,0,0
1,1,1,0.714,0.714,0.714,1,1,1,0.714,0.714,0.714,0,0,0,0,0,0
0.714,0.714,0.714,0,0,0,0.714,0.714,0.714,0,0,0,0,0,0,0,0,0
0.714,0.714,0.714,0,0,0,0.714,0.714,0.714,0,0,0,0,0,0,0,0,0
0.714,0.714,0.714,0,0,0,0.714,0.714,0.714,0,0,0,0,0,0,0,0,0
