hospital_id,hospital_fns_id,region,row_index,21_value,22_value
101100,103,15,8223,50334232,30252055
102100,203,1,8226,77818223,34267299
103100,303,2,8230,91389907,63882824
103101,304,2,8231,37079367,17936386
103102,305,2,8232,6931367,2897737
103103,306,2,8233,4020419,1137899
103104,307,2,8234,3337842,1249733
104100,403,3,8239,43676488,27645948
104101,404,3,8240,2754175,656350
104102,405,3,8241,2656123,696604
104103,406,3,8242,20378997,12109016
104104,407,3,8243,3575263,917987
105100,503,4,8246,64527015,41520768
105101,504,4,8247,61059424,36870714
105102,505,4,8248,48304598,22819684
105103,506,4,8249,13058420,5212870
105104,507,4,8250,5486279,2535358
105105,508,4,8251,3251524,966437
105106,509,4,8252,2956519,1081930
105107,5010,4,8253,3705620,1307468
105108,5011,4,8254,6060648,2195381
106100,603,5,8257,76905513,46923389
106102,607,5,8261,19990003,10046251
106103,604,5,8258,24540562,17713791
106104,605,5,8259,8679027,3480904
106105,606,5,8260,4436157,1949865
107100,703,5,8265,97604252,70599590
107101,704,5,8266,46900703,29061014
107102,705,5,8267,29019704,13271034
107103,706,5,8268,7078084,1809186
107104,708,5,8270,8505266,2019898
107105,709,5,8271,7127941,1652854
107106,7010,5,8272,3470747,964335
107107,7011,5,8273,2152462,642478
107108,7012,5,8274,6508270,2486074
107109,7013,5,8275,7794622,2680958
107110,707,5,8269,4215978,945620
108100,803,5,8278,29582629,19500080
108101,804,5,8279,23193321,14376406
108102,805,5,8280,4209056,1296089
108104,806,5,8281,2337388,807009
108105,807,5,8282,10985190,3233448
109100,2606,13,8476,89552312,54044327
109101,2605,13,8475,42714653,18943463
109102,2608,13,8478,18550430,8044890
109103,2607,13,8477,23398645,16390726
109104,2604,13,8474,4400115,1246956
110100,2709,13,8487,82407082,85379659
110110,27010,13,8488,10664172,13958030
110120,2708,13,8486,83653525,64148526
110130,2707,13,8485,21593899,11680609
110140,2706,13,8484,10835797,4531414
110150,2705,13,8483,24382514,11099607
110160,2704,13,8482,6149977,2428811
111100,2404,13,8459,91965731,68030368
111101,2406,13,8461,96323272,52427655
111351,3101,13,8498,7352516,7088240
112100,2306,13,8450,67013312,81882076
112101,2305,13,8449,36847157,21412708
112102,2304,13,8448,41249899,35947383
112103,2303,13,8447,21005748,28438633
112104,2308,13,8452,18166876,12897917
112105,2309,13,8453,5843684,1608735
112106,2307,13,8451,6156188,2086897
112107,23010,13,8454,8107373,5347980
113100,2503,13,8465,98526292,71304081
113130,2505,13,8467,33455227,15834437
113150,2506,13,8468,17255756,5625502
113160,2504,13,8466,7597518,12718416
113170,2507,13,8469,6313719,1938830
113180,2508,13,8470,45266099,22119448
114101,2805,13,8493,77285647,62169090
114102,2806,13,8494,10909008,8085849
114103,3001,13,8497,7562490,5894704
114105,2807,13,8495,64681059,39863502
115100,903,6,8290,88292615,56541939
115101,904,6,8291,4348571,1028824
115102,905,6,8292,2650858,560624
115103,906,6,8293,3479855,1013780
115104,907,6,8294,14157338,9999542
115105,908,6,8295,7002968,2535882
115106,909,6,8296,1941286,455068
115107,9010,6,8297,26790477,14910482
115108,9011,6,8298,4140591,1144269
115109,9012,6,8299,2359288,542267
115110,9013,6,8300,15032927,9407642
115111,9014,6,8301,1805751,547315
115112,9015,6,8302,3518543,1295887
115113,9016,6,8303,1876002,416410
115114,9017,6,8304,2001027,585726
116100,1003,7,8307,46205955,39639478
116101,1004,7,8308,3925097,1182568
116102,1005,7,8309,4670463,2884684
116103,1006,7,8310,2791571,975449
116104,1007,7,8311,2827386,600384
116105,1008,7,8312,93293364,65555488
116106,1009,7,8313,2634787,785210
116107,10010,7,8314,8231936,2785614
116108,10011,7,8315,32535120,20588523
116109,10012,7,8316,7813079,3366236
116110,10013,7,8317,8679245,3432894
116111,10014,7,8318,11000789,3914179
116112,10015,7,8319,2776414,826886
117101,1103,16,8322,77781002,46802645
117102,1104,16,8323,22816265,13980123
117103,1105,16,8324,6040623,3347287
117104,1106,16,8325,4796673,2416942
117106,1107,16,8326,4375334,2243488
117107,1109,16,8328,3935174,1930907
117108,1108,16,8327,5125480,2401303
118100,1203,8,8333,143943162,93658895
118103,1204,8,8334,14385195,11965484
118105,1205,8,8335,22044229,6362014
118106,1206,8,8336,16962943,6983305
118107,1207,8,8337,3525135,1169899
118108,1208,8,8338,3592943,1603782
119100,1303,8,8343,77688354,63561830
119101,1304,8,8344,16550595,6315713
119102,1305,8,8345,15616291,7209052
120101,1406,8,8352,88082228,68262057
120102,1407,8,8353,6979661,2836861
120103,1408,8,8354,5187772,1822488
120104,1409,8,8355,4838852,1830466
120105,1405,8,8351,5290916,2849575
120106,14010,8,8356,4692137,1841742
120107,1404,8,8350,3952610,1594434
121109,17016,9,8388,104472193,84456382
121110,17013,9,8385,15113795,9357354
121111,17012,9,8384,3123403,1313758
121112,17015,9,8387,2951818,1358443
121113,1704,9,8376,4282915,2434039
121114,1705,9,8377,19334372,18744562
121115,1707,9,8379,4820095,2680876
121116,17010,9,8382,3172380,1385038
121117,1709,9,8381,15672961,9109683
121118,17011,9,8383,2939274,1076790
121119,1708,9,8380,3301681,1380060
121120,17014,9,8386,4070595,1983257
121121,1706,9,8378,15883938,7757881
122100,1803,14,8392,73996333,51580073
122101,1804,14,8393,2338529,889084
122102,1805,14,8394,2506738,908499
122103,1806,14,8395,4797067,1193477
122104,1807,14,8396,8839266,3134198
122105,1808,14,8397,5094052,1362866
122106,1809,14,8398,3608566,749108
122200,18011,14,8400,3580030,1305136
123100,1903,10,8403,62421307,37636490
123101,1905,10,8405,5148329,2183451
123102,1906,10,8406,3641661,942974
123103,1904,10,8404,2681528,801565
123104,1907,10,8407,2199899,764107
123105,1908,10,8408,1969900,619266
124105,20011,10,8419,103367070,74074908
124110,2008,10,8416,3006329,1326770
124115,2006,10,8414,3312257,1430055
124120,2005,10,8413,3467355,1659975
124125,2009,10,8417,2959711,1378460
124130,2003,10,8411,7469134,2637095
124140,20010,10,8418,2178707,701669
124145,2007,10,8415,2978948,1273369
125100,2107,11,8428,48817119,26259166
125101,2108,11,8429,15039667,9303932
125102,2105,11,8426,3151986,1338598
125103,2106,11,8427,5261281,1727267
125104,2104,11,8425,3010467,853679
126100,2205,12,8437,62417246,36795123
126101,2204,12,8436,18238183,6253473
126102,2203,12,8435,4471016,1669840
126704,22012,12,8444,2113913,931490
128109,1506,8,8362,28913959,14716964
128110,1507,8,8363,9866213,3680076
128111,1504,8,8360,15978985,6665294
128112,1505,8,8361,3124573,1335413
128113,1503,8,8359,11046927,5920817
129100,1603,9,8366,37176582,15535925
129101,1607,9,8370,3350507,1188382
129103,1606,9,8369,5367666,2324551
129104,1605,9,8368,6992378,2539962
129106,1604,9,8367,27517215,12580220
129107,1608,9,8371,4525461,1738098
129108,1609,9,8372,3448023,940982
133150,3302,10,--,--,--
133155,3306,10,--,--,--
133160,3304,10,--,--,--
133165,3303,10,--,--,--
133170,3305,10,--,--,--
