"","IdEstablecimiento","OriginalGRD","Prediction"
"1",101100,0.84754,0.876243190453917
"2",102100,0.86395,0.892562705306661
"3",103100,1.00494,1.00211717761837
"4",103101,0.81698,0.788992559866222
"5",103102,-,0.723828624833586
"6",103103,-,0.728868932395977
"7",103104,-,0.730379157839253
"8",104100,0.94045,0.911894593790611
"9",104101,-,0.730415736170464
"10",104102,-,0.730400694297501
"11",104103,0.82919,0.766177290559578
"12",104104,-,0.730609553441383
"13",105100,0.94906,1.10022440569252
"14",105101,0.98017,0.951508274457172
"15",105102,0.7742,0.803847574472552
"16",105103,-,0.73700512650391
"17",105104,-,0.730684548074904
"18",105105,-,0.730469945331715
"19",105106,-,0.730369997581985
"20",105107,-,0.732177393061127
"21",105108,-,0.730754174453256
"22",106100,0.99546,0.995800837283158
"23",106102,1.32904,0.912039538460686
"24",106103,0.74226,0.770848646355217
"25",106104,-,0.730421654039626
"26",106105,-,0.730406721215604
"27",107100,1.19176,1.00319617836688
"28",107101,0.85354,0.848220732938318
"29",107102,0.73262,0.757638505378766
"30",107103,-,0.724964932898825
"31",107104,-,0.721157048479559
"32",107105,-,0.727309632546225
"33",107106,-,0.731132955990212
"34",107107,-,0.730316937357298
"35",107108,-,0.73039339700953
"36",107109,-,0.733970547158788
"37",107110,-,0.727105205985838
"38",108100,0.8969,0.925481280551024
"39",108101,0.91808,0.889474509532509
"40",108102,-,0.730421654039626
"41",108104,-,0.730421654039626
"42",108105,-,0.730421654039626
"43",109100,0.89729,1.01253296962591
"44",109101,1.17727,1.14853218424118
"45",109102,-,0.73253261453443
"46",109103,-,0.891361426776535
"47",109104,-,0.730400928276943
"48",110100,1.12193,1.09338408874354
"49",110110,-,0.972422514003007
"50",110120,0.89206,0.920730502862971
"51",110130,0.90642,0.908143920436808
"52",110140,-,0.728932757284718
"53",110150,0.70746,0.736139709005721
"54",110160,-,0.730391515954306
"55",111100,0.85661,0.885110766017142
"56",111101,1.07755,1.04898867781008
"57",111195,1.55007,1.19492422244643
"58",111351,-,0.731543248480444
"59",112100,1.00464,1.00604772022655
"60",112101,0.82858,0.857164387678228
"61",112102,1.34642,1.13101409049298
"62",112103,2.37388,1.09721874310915
"63",112104,1.82874,1.10395018164859
"64",112105,-,0.727064847126532
"65",112106,-,0.727873432177904
"66",112107,-,0.723115076352877
"67",113100,1.06338,1.00966591221029
"68",113130,0.98356,0.949344350447221
"69",113150,0.71253,0.739131378408436
"70",113160,-,0.74766529633837
"71",113170,-,0.730421654039626
"72",113180,0.8502,0.907434294291414
"73",113190,-,0.817422678643691
"74",114101,1.0354,1.00668388007009
"75",114102,-,0.734589169688778
