"IdEstablecimiento","OriginalGRD","Prediction"
101100,0.84754,0.876243190453917
102100,0.86395,0.892562705306661
103100,1.00494,1.00211717761837
103101,0.81698,0.788992559866222
103102,-,0.723828624833586
103103,-,0.728868932395977
103104,-,0.730379157839253
104100,0.94045,0.911894593790611
104101,-,0.730415736170464
104102,-,0.730400694297501
104103,0.82919,0.766177290559578
104104,-,0.730609553441383
105100,0.94906,1.10022440569252
105101,0.98017,0.951508274457172
105102,0.7742,0.803847574472552
105103,-,0.73700512650391
105104,-,0.730684548074904
105105,-,0.730469945331715
105106,-,0.730369997581985
105107,-,0.732177393061127
105108,-,0.730754174453256
106100,0.99546,0.995800837283158
106102,1.32904,0.912039538460686
106103,0.74226,0.770848646355217
106104,-,0.730421654039626
106105,-,0.730406721215604
107100,1.19176,1.00319617836688
107101,0.85354,0.848220732938318
107102,0.73262,0.757638505378766
107103,-,0.724964932898825
107104,-,0.721157048479559
107105,-,0.727309632546225
107106,-,0.731132955990212
107107,-,0.730316937357298
107108,-,0.73039339700953
107109,-,0.733970547158788
107110,-,0.727105205985838
108100,0.8969,0.925481280551024
108101,0.91808,0.889474509532509
108102,-,0.730421654039626
108104,-,0.730421654039626
108105,-,0.730421654039626
109100,0.89729,1.01253296962591
109101,1.17727,1.14853218424118
109102,-,0.73253261453443
109103,-,0.891361426776535
109104,-,0.730400928276943
110100,1.12193,1.09338408874354
110110,-,0.972422514003007
110120,0.89206,0.920730502862971
110130,0.90642,0.908143920436808
110140,-,0.728932757284718
110150,0.70746,0.736139709005721
110160,-,0.730391515954306
111100,0.85661,0.885110766017142
111101,1.07755,1.04898867781008
111195,1.55007,1.19492422244643
111351,-,0.731543248480444
112100,1.00464,1.00604772022655
112101,0.82858,0.857164387678228
112102,1.34642,1.13101409049298
112103,2.37388,1.09721874310915
112104,1.82874,1.10395018164859
112105,-,0.727064847126532
112106,-,0.727873432177904
112107,-,0.723115076352877
113100,1.06338,1.00966591221029
113130,0.98356,0.949344350447221
113150,0.71253,0.739131378408436
113160,-,0.74766529633837
113170,-,0.730421654039626
113180,0.8502,0.907434294291414
113190,-,0.817422678643691
114101,1.0354,1.00668388007009
114102,-,0.734589169688778
114103,0.91219,0.940860501994878
114104,-,1.11388400692801
114105,0.91619,0.944715190522506
114204,-,0.769837008449667
115100,1.06101,1.03248167659795
115101,-,0.73059894511153
115102,-,0.730479444979426
115103,-,0.730305415152194
115104,-,0.735961270825413
115105,-,0.724315255553588
115106,-,0.730404141960233
115107,0.83637,0.803368741841566
115108,-,0.73037868451143
115109,-,0.730400518217318
115110,0.73363,0.762301588622771
115111,-,0.730481536194581
115112,-,0.730138000161525
115113,-,0.730400669086538
115114,-,0.730200405133097
116100,0.85989,0.868487683523858
116101,-,0.730426889587754
116102,-,0.730684261145664
116103,-,0.730337670447918
116104,-,0.730475283342995
116105,1.10166,1.07303865012173
116106,-,0.730427722658052
116107,-,0.721582153605159
116108,0.87035,0.89909211996856
116109,-,0.717559557575791
116110,0.74862,0.769026042585402
116111,-,0.71596430786207
116112,-,0.730381032025033
117101,0.90975,0.881116876851446
117102,0.78991,0.771376601999559
117103,-,0.730392894479044
117104,-,0.730764068951967
117106,-,0.730334994569459
117107,-,0.73042063505477
117108,-,0.730177208381918
118100,1.1799,1.15116619003253
118103,-,0.99573335112026
118105,0.69102,0.732708893691806
118106,-,0.73474144117917
118107,-,0.730469153747092
118108,-,0.730406824177606
119100,0.99895,0.988135211697082
119101,-,0.753550225333839
119102,-,0.741423978304256
120101,0.98837,0.959640446649533
120102,-,0.730370650591695
120103,-,0.730410092721099
120104,-,0.730406788012151
120105,-,0.730500857205113
120106,-,0.730400022552255
120107,-,0.73037883960719
121109,1.10867,1.07991813087614
121110,0.69572,0.725694131170306
121111,-,0.73033298354815
121112,-,0.730349703686816
121113,-,0.730365325675744
121114,0.84928,0.878044479918741
121115,-,0.73020774851286
121116,-,0.730303658274871
121117,0.84282,0.762082629565885
121118,-,0.730326558101042
121119,-,0.730342938200349
121120,-,0.730360358938679
121121,0.62937,0.768518161879818
121200,-,0.729931910077105
121201,-,0.730379192251037
122100,0.99484,1.0021290309715
122101,-,0.730390074089937
122102,-,0.730428898782656
122103,-,0.732594654723483
122104,-,0.737062090698876
122105,-,0.728178666222494
122106,-,0.730421654039626
122200,-,0.73097679621052
122201,-,0.732264923508897
123100,0.94303,0.914456192342932
123101,-,0.725578282540986
123102,-,0.730421654039626
123103,-,0.730775165140963
123104,-,0.730411813761371
123105,-,0.73040525250164
124105,0.99893,0.991051270327129
124110,-,0.732265648461483
124115,-,0.730428959745197
124120,-,0.730451254625912
124125,-,0.730421654039626
124130,-,0.730421654039626
124140,-,0.730424692637446
124145,-,0.730421654039626
124210,-,0.769837008449667
124380,-,0.730430227625603
125100,0.93157,0.900639645436488
125101,-,0.71858675091542
125102,-,0.730405184048488
125103,-,0.730767993901745
125104,-,0.730023873308073
126100,0.99944,0.970768286638363
126101,-,0.741306719676636
126102,-,0.730421918306331
126204,-,0.769837008449667
126704,-,0.730421539335086
128109,0.75965,0.737470919054573
128110,-,0.727647192620776
128111,-,0.741568288954707
128112,-,0.729587922987591
128113,-,0.754755475131688
129100,0.78169,0.81032740429417
129101,-,0.730339559293559
129103,-,0.730198146611447
129104,-,0.730297327255746
129106,0.90198,0.797572874440045
129107,-,0.730173462285739
129108,-,0.730362828847889
133150,0.84436,0.873054891944129
133155,-,0.782876799505455
133160,-,0.730421678645588
133165,-,0.727527661756636
133170,-,0.730421654039626
200076,-,0.730421654039626
200282,-,0.734888093038307
200705,-,0.769837008449667
200714,-,0.769837008449667
200717,-,0.799855206584382
200726,-,0.769837008449667
200727,-,0.769837008449667
200867,-,0.769837008449667
200868,-,0.769837008449667
200889,-,0.769837008449667
201084,-,0.769837008449667
201319,-,0.769837008449667
