MODEL;S_MODEL;hospital_id;X21_value_normalized;X22_value_normalized;hospital_discharge_normalized;diagnostic_tests_normalized;surgical_interventions_normalized;medical_consultations_normalized;grd;te_input;te_output;te_directional
M_VRS_2018;M;106102;0.1;0.08;0.07;0.16;0.05;0;1.07;0.125;3.958;0.875
M_VRS_2018;M;106103;0.11;0.1;0.13;0.16;0.07;0;0.68;0.1;4.053;0.9
M_VRS_2018;M;107100;0.53;0.64;0.39;0.36;0.34;0;1.19;0.019;1.807;0.568
M_VRS_2018;M;107101;0.18;0.18;0.18;0.24;0.21;0;0.75;0.056;2.906;0.944
M_VRS_2018;M;107102;0.15;0.11;0.12;0.08;0.12;0.02;0.75;0.091;4.502;0.909
M_VRS_2018;M;108100;0.15;0.11;0.22;0.14;0.21;0;0.79;0.091;2.551;0.909
M_VRS_2018;M;108101;0.12;0.09;0.15;0.11;0.22;0;0.78;0.111;2.445;0.889
M_VRS_2018;M;109100;0.56;0.51;0.56;0.96;1;0;0.83;1;1;0
M_VRS_2018;M;109101;0.28;0.16;0.15;0.12;0.13;0;1.03;0.063;3.944;0.938
M_VRS_2018;M;110100;0.56;0.7;0.49;0.89;0.42;0;1.02;0.819;1.079;0.055
M_VRS_2018;M;110120;0.37;0.44;0.33;0.3;0.32;0;0.8;0.027;1.932;0.69
M_VRS_2018;M;110150;0.12;0.07;0.11;0.12;0.11;0.01;0.63;0.143;4.691;0.857
M_VRS_2018;M;111100;0.62;0.86;0.57;0.63;0.35;0.1;0.88;0.224;1.199;0.158
M_VRS_2018;M;111101;0.49;0.43;0.34;0.48;0.24;0.07;0.92;0.023;1.708;0.475
M_VRS_2018;M;111195;0.39;0.35;0.13;0.21;0.16;0.08;1.31;0.029;3.289;0.899
M_VRS_2018;M;112100;0.39;0.8;0.18;0.43;0.37;0;1.19;0.026;1.959;0.59
M_VRS_2018;M;112101;0.22;0.16;0.3;0;0.16;0;0.73;0.063;1.991;0.848
M_VRS_2018;M;112102;0.25;0.33;0.14;0.19;0.16;0;1.33;0.04;3.925;0.96
M_VRS_2018;M;112103;0.11;0.29;0.07;0.11;0.02;0;1.74;0.091;5.901;0.909
M_VRS_2018;M;112104;0.1;0.13;0.04;0.05;0.05;0;1.67;0.1;10.8;0.9
M_VRS_2018;M;113100;0.68;0.7;0.64;0.87;0.56;0.08;0.92;0.971;1.007;0.005
M_VRS_2018;M;113130;0.2;0.16;0.1;0.08;0.12;0;1.1;0.063;5.125;0.937
M_VRS_2018;M;113180;0.26;0.18;0.29;0.27;0.23;0;0.78;0.056;2.082;0.904
M_VRS_2018;M;114101;0.98;0.96;0.85;0.69;0.75;0.19;0.95;1;1;0
M_VRS_2018;M;114103;0.4;0.37;0.41;0.49;0.24;0.02;0.75;0.027;1.495;0.407
M_VRS_2018;M;115100;0.56;0.58;0.41;0.44;0.48;0.1;1.02;0.103;1.567;0.403
M_VRS_2018;M;115107;0.12;0.16;0.16;0.12;0.14;0;0.78;0.083;3.598;0.917
M_VRS_2018;M;116100;0.23;0.31;0.28;0.46;0.33;0;0.79;0.043;1.591;0.439
M_VRS_2018;M;116105;0.61;0.53;0.55;0.68;0.46;0;1.02;0.267;1.169;0.138
M_VRS_2018;M;116108;0.19;0.15;0.25;0.21;0.25;0;0.78;0.067;2.267;0.853
M_VRS_2018;M;117101;0.46;0.4;0.38;0.36;0.45;0;0.87;0.025;1.618;0.469
M_VRS_2018;M;117102;0.11;0.08;0.12;0.09;0.15;0.23;0.69;0.649;1.26;0.163
M_VRS_2018;M;118100;0.9;1.02;0.69;0.83;0.62;0.75;1.09;1;1;0
M_VRS_2018;M;118105;0.1;0.04;0.11;0.14;0.09;0.3;0.61;1;1;0
M_VRS_2018;M;119100;0.46;0.54;0.43;0.44;0.39;0;0.95;0.022;1.545;0.431
M_VRS_2018;M;120101;0.01;0.01;0.55;0.58;0.45;0.08;0.86;1;1;0
M_VRS_2018;M;121109;0.66;0.92;0.67;0.77;0.53;0.1;1.04;0.91;1.021;0.017
M_VRS_2018;M;122100;0.42;0.59;0.42;0.46;0.36;0.04;0.93;0.024;1.523;0.423
M_VRS_2018;M;123100;0.39;0.35;0.31;0.38;0.36;0;0.86;0.029;1.944;0.623
M_VRS_2018;M;124105;0.62;0.67;0.46;0.4;0.42;0.97;0.93;1;1;0
M_VRS_2018;M;125100;0.29;0.21;0.16;0.2;0.09;0;0.83;0.048;3.535;0.952
M_VRS_2018;M;126100;0.36;0.33;0.2;0.17;0.16;0;0.99;0.03;3.255;0.97
M_VRS_2018;M;129100;0.13;0.07;0.11;0.08;0.09;0.08;0.68;0.143;3.065;0.737
M_VRS_2018;M;129106;0.13;0.09;0.12;0.11;0.1;0.04;0.74;0.111;4.507;0.889
M_VRS_2018;M;133150;0.19;0.09;0.11;0.11;0.13;0.03;0.84;0.111;3.855;0.889
M_CRS_2019;M;101100;0.3;0.26;0.33;0.29;0.28;0.06;0.82;0.04;25;0.923
M_CRS_2019;M;102100;0.45;0.25;0.37;0.25;0.4;1;0.82;0.444;2.25;0.385
M_CRS_2019;M;103100;0.56;0.59;0.41;0.41;0.28;0;0.93;0.013;76.488;0.974
M_CRS_2019;M;103101;0.19;0.14;0.17;0.15;0.09;0;0.72;0.016;62.588;0.969
M_CRS_2019;M;104100;0.26;0.22;0.22;0.17;0.21;0;0.78;0.018;56.952;0.965
M_CRS_2019;M;105100;0.29;0.33;0.25;0.24;0.34;0;0.95;0.025;39.235;0.95
M_CRS_2019;M;105101;0.31;0.34;0.26;0.2;0.3;0;1.01;0.021;47.533;0.959
M_CRS_2019;M;105102;0.2;0.14;0.15;0.22;0.22;0;0.74;0.024;41.818;0.953
M_CRS_2019;M;106100;0.48;0.42;0.38;0.31;0.31;0;1.01;0.014;70.737;0.972
M_CRS_2019;M;106102;0.1;0.07;0.07;0.18;0.06;0;1.11;0.03;33.889;0.943
M_CRS_2019;M;106103;0.11;0.1;0.12;0.13;0.07;0;0.71;0.019;51.333;0.962
M_CRS_2019;M;107100;0.53;0.65;0.4;0.41;0.35;0;1.19;0.014;69.657;0.972
M_CRS_2019;M;107101;0.17;0.16;0.16;0.24;0.21;0;0.77;0.027;37.238;0.948
M_CRS_2019;M;107102;0.15;0.1;0.11;0.1;0.12;0.02;0.76;0.027;37.5;0.948
M_CRS_2019;M;108100;0.15;0.11;0.2;0.15;0.23;0;0.84;0.033;30;0.935
M_CRS_2019;M;108101;0.12;0.1;0.15;0.11;0.21;0;0.85;0.038;26.286;0.927
M_CRS_2019;M;109100;0.57;0.46;0.54;0.95;0.98;0;0.84;0.037;26.755;0.928
M_CRS_2019;M;109101;0.27;0.18;0.16;0.14;0.13;0;1.11;0.011;94.5;0.979
M_CRS_2019;M;110100;0.55;0.76;0.48;1;0.5;0;1.09;0.03;33.55;0.942
M_CRS_2019;M;110120;0.38;0.4;0.33;0.33;0.31;0.2;0.82;0.105;9.5;0.81
M_CRS_2019;M;110150;0.12;0.07;0.11;0.12;0.1;0.01;0.64;0.018;55.2;0.964
M_CRS_2019;M;111100;0.61;0.78;0.55;0.62;0.38;0.09;0.89;0.03;33.889;0.943
M_CRS_2019;M;111101;0.46;0.44;0.34;0.52;0.26;0.07;0.94;0.03;32.857;0.941
M_CRS_2019;M;111195;0.38;0.31;0.14;0.23;0.16;0.09;1.32;0.047;21.111;0.91
M_CRS_2019;M;112100;0.39;0.92;0.23;0.51;0.42;0;1.22;0.023;42.714;0.954
M_CRS_2019;M;112101;0.21;0.16;0.31;0.01;0.17;0;0.75;0.026;37.935;0.949
M_CRS_2019;M;112102;0.24;0.32;0.14;0.2;0.14;0;1.42;0.014;73.2;0.973
M_CRS_2019;M;112103;0.11;0.27;0.07;0.11;0.02;0;1.78;0.016;61;0.968
M_CRS_2019;M;112104;0.1;0.13;0.04;0.05;0.05;0;1.68;0.011;92;0.978
M_CRS_2019;M;113100;0.65;0.77;0.66;0.93;0.59;0.1;0.95;0.031;32.5;0.94
M_CRS_2019;M;113130;0.21;0.16;0.11;0.09;0.08;0.02;1.02;0.019;52.5;0.963
M_CRS_2019;M;113180;0.26;0.18;0.29;0.3;0.22;0;0.8;0.02;50.207;0.961
M_CRS_2019;M;114101;0.94;0.92;0.84;0.72;0.79;0;0.96;0.018;54.734;0.964
M_CRS_2019;M;114103;0.38;0.33;0.38;0.49;0.22;0.01;0.74;0.021;47.306;0.959
M_CRS_2019;M;115100;0.56;0.53;0.45;0.48;0.53;0.11;1;0.039;25.455;0.924
M_CRS_2019;M;115107;0.12;0.15;0.15;0.14;0.14;0;0.81;0.025;39.429;0.951
M_CRS_2019;M;116100;0.23;0.31;0.29;0.49;0.34;0.03;0.81;0.035;28.633;0.933
M_CRS_2019;M;116105;0.6;0.52;0.56;0.74;0.49;0;1.05;0.02;49.459;0.96
M_CRS_2019;M;116108;0.19;0.15;0.26;0.25;0.23;0;0.79;0.026;38;0.949
M_CRS_2019;M;117101;0.45;0.39;0.39;0.44;0.46;0.01;0.87;0.022;45;0.957
M_CRS_2019;M;117102;0.11;0.08;0.11;0.18;0.15;0.23;0.7;0.418;2.391;0.41
M_CRS_2019;M;118100;0.9;0.9;0.69;0.92;0.57;0.91;1.11;0.202;4.945;0.664
M_CRS_2019;M;118105;0.1;0.04;0.1;0.15;0.09;0.27;0.62;0.54;1.852;0.299
M_CRS_2019;M;119100;0.45;0.51;0.42;0.51;0.45;0;0.96;0.022;46;0.957
M_CRS_2019;M;120101;0.01;0;0.56;0.61;0.46;0.05;0.9;1;1;0
M_CRS_2019;M;121109;0.66;0.9;0.65;0.59;0.5;0.11;1.06;0.033;30;0.935
M_CRS_2019;M;122100;0.41;0.56;0.41;0.47;0.36;0.06;0.96;0.029;34.167;0.943
M_CRS_2019;M;123100;0.38;0.32;0.31;0.43;0.35;0;0.86;0.02;49.943;0.961
M_CRS_2019;M;124105;0.62;0.65;0.47;0.45;0.44;0.82;0.96;0.265;3.78;0.582
M_CRS_2019;M;125100;0.29;0.19;0.16;0.22;0.09;0;0.86;0.012;80.409;0.975
M_CRS_2019;M;126100;0.36;0.31;0.22;0.19;0.17;0;0.97;0.011;91.636;0.978
M_CRS_2019;M;129100;0.13;0.06;0.12;0.1;0.1;0.09;0.68;0.138;7.222;0.757
M_CRS_2019;M;129106;0.13;0.08;0.11;0.11;0.09;0.06;0.76;0.092;10.833;0.831
M_CRS_2019;M;133150;0.19;0.09;0.11;0.13;0.14;0.03;0.82;0.032;31.667;0.939
M_NIRS_2019;M;101100;0.3;0.26;0.33;0.29;0.28;0.06;0.82;0.047;1.899;0.721
M_NIRS_2019;M;102100;0.45;0.25;0.37;0.25;0.4;1;0.82;1;1;0
M_NIRS_2019;M;103100;0.56;0.59;0.41;0.41;0.28;0;0.93;0.013;1.736;0.545
M_NIRS_2019;M;103101;0.19;0.14;0.17;0.15;0.09;0;0.72;0.016;3.545;0.969
M_NIRS_2019;M;104100;0.26;0.22;0.22;0.17;0.21;0;0.78;0.018;2.765;0.965
M_NIRS_2019;M;105100;0.29;0.33;0.25;0.24;0.34;0;0.95;0.025;2.118;0.624
M_NIRS_2019;M;105101;0.31;0.34;0.26;0.2;0.3;0;1.01;0.021;2.254;0.746
M_NIRS_2019;M;105102;0.2;0.14;0.15;0.22;0.22;0;0.74;0.024;2.81;0.953
M_NIRS_2019;M;106100;0.48;0.42;0.38;0.31;0.31;0;1.01;0.014;1.81;0.606
M_NIRS_2019;M;106102;0.1;0.07;0.07;0.18;0.06;0;1.11;0.03;3.676;0.943
M_NIRS_2019;M;106103;0.11;0.1;0.12;0.13;0.07;0;0.71;0.019;4.868;0.962
M_NIRS_2019;M;107100;0.53;0.65;0.4;0.41;0.35;0;1.19;0.014;1.748;0.559
M_NIRS_2019;M;107101;0.17;0.16;0.16;0.24;0.21;0;0.77;0.027;2.898;0.948
M_NIRS_2019;M;107102;0.15;0.1;0.11;0.1;0.12;0.02;0.76;0.027;4.62;0.948
M_NIRS_2019;M;108100;0.15;0.11;0.2;0.15;0.23;0;0.84;0.033;2.541;0.935
M_NIRS_2019;M;108101;0.12;0.1;0.15;0.11;0.21;0;0.85;0.038;2.677;0.927
M_NIRS_2019;M;109100;0.57;0.46;0.54;0.95;0.98;0;0.84;1;1;0
M_NIRS_2019;M;109101;0.27;0.18;0.16;0.14;0.13;0;1.11;0.011;3.842;0.979
M_NIRS_2019;M;110100;0.55;0.76;0.48;1;0.5;0;1.09;1;1;0
M_NIRS_2019;M;110120;0.38;0.4;0.33;0.33;0.31;0.2;0.82;0.197;1.791;0.545
M_NIRS_2019;M;110150;0.12;0.07;0.11;0.12;0.1;0.01;0.64;0.018;5.146;0.964
M_NIRS_2019;M;111100;0.61;0.78;0.55;0.62;0.38;0.09;0.89;0.079;1.267;0.211
M_NIRS_2019;M;111101;0.46;0.44;0.34;0.52;0.26;0.07;0.94;0.04;1.656;0.439
M_NIRS_2019;M;111195;0.38;0.31;0.14;0.23;0.16;0.09;1.32;0.069;3.209;0.844
M_NIRS_2019;M;112100;0.39;0.92;0.23;0.51;0.42;0;1.22;0.023;1.677;0.45
M_NIRS_2019;M;112101;0.21;0.16;0.31;0.01;0.17;0;0.75;0.026;1.964;0.831
M_NIRS_2019;M;112102;0.24;0.32;0.14;0.2;0.14;0;1.42;0.014;3.831;0.973
M_NIRS_2019;M;112103;0.11;0.27;0.07;0.11;0.02;0;1.78;0.016;6.202;0.968
M_NIRS_2019;M;112104;0.1;0.13;0.04;0.05;0.05;0;1.68;0.011;10.871;0.978
M_NIRS_2019;M;113100;0.65;0.77;0.66;0.93;0.59;0.1;0.95;1;1;0
M_NIRS_2019;M;113130;0.21;0.16;0.11;0.09;0.08;0.02;1.02;0.019;5.437;0.963
M_NIRS_2019;M;113180;0.26;0.18;0.29;0.3;0.22;0;0.8;0.02;2.114;0.938
M_NIRS_2019;M;114101;0.94;0.92;0.84;0.72;0.79;0;0.96;1;1;0
M_NIRS_2019;M;114103;0.38;0.33;0.38;0.49;0.22;0.01;0.74;0.021;1.565;0.473
M_NIRS_2019;M;115100;0.56;0.53;0.45;0.48;0.53;0.11;1;0.216;1.406;0.301
M_NIRS_2019;M;115107;0.12;0.15;0.15;0.14;0.14;0;0.81;0.025;3.816;0.951
M_NIRS_2019;M;116100;0.23;0.31;0.29;0.49;0.34;0.03;0.81;0.035;1.544;0.42
M_NIRS_2019;M;116105;0.6;0.52;0.56;0.74;0.49;0;1.05;0.385;1.123;0.103
M_NIRS_2019;M;116108;0.19;0.15;0.26;0.25;0.23;0;0.79;0.026;2.302;0.949
M_NIRS_2019;M;117101;0.45;0.39;0.39;0.44;0.46;0.01;0.87;0.022;1.589;0.443
M_NIRS_2019;M;117102;0.11;0.08;0.11;0.18;0.15;0.23;0.7;0.76;1.238;0.12
M_NIRS_2019;M;118100;0.9;0.9;0.69;0.92;0.57;0.91;1.11;1;1;0
M_NIRS_2019;M;118105;0.1;0.04;0.1;0.15;0.09;0.27;0.62;1;1;0
M_NIRS_2019;M;119100;0.45;0.51;0.42;0.51;0.45;0;0.96;0.022;1.505;0.402
M_NIRS_2019;M;120101;0.01;0;0.56;0.61;0.46;0.05;0.9;1;1;0
M_NIRS_2019;M;121109;0.66;0.9;0.65;0.59;0.5;0.11;1.06;0.528;1.137;0.106
M_NIRS_2019;M;122100;0.41;0.56;0.41;0.47;0.36;0.06;0.96;0.034;1.575;0.46
M_NIRS_2019;M;123100;0.38;0.32;0.31;0.43;0.35;0;0.86;0.02;1.852;0.616
M_NIRS_2019;M;124105;0.62;0.65;0.47;0.45;0.44;0.82;0.96;0.759;1.099;0.071
M_NIRS_2019;M;125100;0.29;0.19;0.16;0.22;0.09;0;0.86;0.012;3.411;0.975
M_NIRS_2019;M;126100;0.36;0.31;0.22;0.19;0.17;0;0.97;0.011;2.974;0.978
M_NIRS_2019;M;129100;0.13;0.06;0.12;0.1;0.1;0.09;0.68;0.203;3.298;0.621
M_NIRS_2019;M;129106;0.13;0.08;0.11;0.11;0.09;0.06;0.76;0.108;4.731;0.75
M_NIRS_2019;M;133150;0.19;0.09;0.11;0.13;0.14;0.03;0.82;0.032;3.826;0.93
M_VRS_2019;M;101100;0.3;0.26;0.33;0.29;0.28;0.06;0.82;0.047;1.899;0.721
M_VRS_2019;M;102100;0.45;0.25;0.37;0.25;0.4;1;0.82;1;1;0
M_VRS_2019;M;103100;0.56;0.59;0.41;0.41;0.28;0;0.93;0.018;1.736;0.545
M_VRS_2019;M;103101;0.19;0.14;0.17;0.15;0.09;0;0.72;0.053;3.545;0.947
M_VRS_2019;M;104100;0.26;0.22;0.22;0.17;0.21;0;0.78;0.038;2.765;0.962
M_VRS_2019;M;105100;0.29;0.33;0.25;0.24;0.34;0;0.95;0.034;2.118;0.624
M_VRS_2019;M;105101;0.31;0.34;0.26;0.2;0.3;0;1.01;0.032;2.254;0.746
M_VRS_2019;M;105102;0.2;0.14;0.15;0.22;0.22;0;0.74;0.05;2.81;0.95
M_VRS_2019;M;106100;0.48;0.42;0.38;0.31;0.31;0;1.01;0.021;1.81;0.606
M_VRS_2019;M;106102;0.1;0.07;0.07;0.18;0.06;0;1.11;0.1;3.676;0.9
M_VRS_2019;M;106103;0.11;0.1;0.12;0.13;0.07;0;0.71;0.091;4.868;0.909
M_VRS_2019;M;107100;0.53;0.65;0.4;0.41;0.35;0;1.19;0.019;1.748;0.559
M_VRS_2019;M;107101;0.17;0.16;0.16;0.24;0.21;0;0.77;0.059;2.898;0.941
M_VRS_2019;M;107102;0.15;0.1;0.11;0.1;0.12;0.02;0.76;0.067;4.62;0.933
M_VRS_2019;M;108100;0.15;0.11;0.2;0.15;0.23;0;0.84;0.067;2.541;0.933
M_VRS_2019;M;108101;0.12;0.1;0.15;0.11;0.21;0;0.85;0.083;2.677;0.917
M_VRS_2019;M;109100;0.57;0.46;0.54;0.95;0.98;0;0.84;1;1;0
M_VRS_2019;M;109101;0.27;0.18;0.16;0.14;0.13;0;1.11;0.037;3.842;0.963
M_VRS_2019;M;110100;0.55;0.76;0.48;1;0.5;0;1.09;1;1;0
M_VRS_2019;M;110120;0.38;0.4;0.33;0.33;0.31;0.2;0.82;0.197;1.791;0.545
M_VRS_2019;M;110150;0.12;0.07;0.11;0.12;0.1;0.01;0.64;0.083;5.146;0.917
M_VRS_2019;M;111100;0.61;0.78;0.55;0.62;0.38;0.09;0.89;0.079;1.267;0.211
M_VRS_2019;M;111101;0.46;0.44;0.34;0.52;0.26;0.07;0.94;0.04;1.656;0.439
M_VRS_2019;M;111195;0.38;0.31;0.14;0.23;0.16;0.09;1.32;0.069;3.209;0.844
M_VRS_2019;M;112100;0.39;0.92;0.23;0.51;0.42;0;1.22;0.026;1.677;0.45
M_VRS_2019;M;112101;0.21;0.16;0.31;0.01;0.17;0;0.75;0.048;1.964;0.831
M_VRS_2019;M;112102;0.24;0.32;0.14;0.2;0.14;0;1.42;0.042;3.831;0.958
M_VRS_2019;M;112103;0.11;0.27;0.07;0.11;0.02;0;1.78;0.091;6.202;0.909
M_VRS_2019;M;112104;0.1;0.13;0.04;0.05;0.05;0;1.68;0.1;10.871;0.9
M_VRS_2019;M;113100;0.65;0.77;0.66;0.93;0.59;0.1;0.95;1;1;0
M_VRS_2019;M;113130;0.21;0.16;0.11;0.09;0.08;0.02;1.02;0.048;5.437;0.952
M_VRS_2019;M;113180;0.26;0.18;0.29;0.3;0.22;0;0.8;0.038;2.114;0.938
M_VRS_2019;M;114101;0.94;0.92;0.84;0.72;0.79;0;0.96;1;1;0
M_VRS_2019;M;114103;0.38;0.33;0.38;0.49;0.22;0.01;0.74;0.026;1.565;0.473
M_VRS_2019;M;115100;0.56;0.53;0.45;0.48;0.53;0.11;1;0.216;1.406;0.301
M_VRS_2019;M;115107;0.12;0.15;0.15;0.14;0.14;0;0.81;0.083;3.816;0.917
M_VRS_2019;M;116100;0.23;0.31;0.29;0.49;0.34;0.03;0.81;0.043;1.544;0.42
M_VRS_2019;M;116105;0.6;0.52;0.56;0.74;0.49;0;1.05;0.385;1.123;0.103
M_VRS_2019;M;116108;0.19;0.15;0.26;0.25;0.23;0;0.79;0.053;2.302;0.947
M_VRS_2019;M;117101;0.45;0.39;0.39;0.44;0.46;0.01;0.87;0.022;1.589;0.443
M_VRS_2019;M;117102;0.11;0.08;0.11;0.18;0.15;0.23;0.7;0.76;1.238;0.12
M_VRS_2019;M;118100;0.9;0.9;0.69;0.92;0.57;0.91;1.11;1;1;0
M_VRS_2019;M;118105;0.1;0.04;0.1;0.15;0.09;0.27;0.62;1;1;0
M_VRS_2019;M;119100;0.45;0.51;0.42;0.51;0.45;0;0.96;0.022;1.505;0.402
M_VRS_2019;M;120101;0.01;0;0.56;0.61;0.46;0.05;0.9;1;1;0
M_VRS_2019;M;121109;0.66;0.9;0.65;0.59;0.5;0.11;1.06;0.528;1.137;0.106
M_VRS_2019;M;122100;0.41;0.56;0.41;0.47;0.36;0.06;0.96;0.034;1.575;0.46
M_VRS_2019;M;123100;0.38;0.32;0.31;0.43;0.35;0;0.86;0.026;1.852;0.616
M_VRS_2019;M;124105;0.62;0.65;0.47;0.45;0.44;0.82;0.96;0.759;1.099;0.071
M_VRS_2019;M;125100;0.29;0.19;0.16;0.22;0.09;0;0.86;0.034;3.411;0.966
M_VRS_2019;M;126100;0.36;0.31;0.22;0.19;0.17;0;0.97;0.028;2.974;0.972
M_VRS_2019;M;129100;0.13;0.06;0.12;0.1;0.1;0.09;0.68;0.203;3.298;0.621
M_VRS_2019;M;129106;0.13;0.08;0.11;0.11;0.09;0.06;0.76;0.108;4.731;0.75
M_VRS_2019;M;133150;0.19;0.09;0.11;0.13;0.14;0.03;0.82;0.053;3.826;0.93
M_CRS_2020;M;101100;0.31;0.3;0.26;0.26;0.16;0.05;0.98;0.033;30;0.935
M_CRS_2020;M;102100;0.44;0.29;0.31;0.28;0.25;0.04;0.95;0.034;29;0.933
M_CRS_2020;M;103100;0.64;0.8;0.33;0.44;0.23;0;1.16;0.014;69.565;0.972
M_CRS_2020;M;103101;0.24;0.17;0.16;0.16;0.06;0;0.93;0.024;42.5;0.954
M_CRS_2020;M;104100;0.26;0.25;0.18;0.17;0.13;0;0.85;0.021;48.077;0.959
M_CRS_2020;M;105100;0.34;0.34;0.19;0.25;0.14;0;1.04;0.016;60.714;0.968
M_CRS_2020;M;105101;0.36;0.34;0.21;0.18;0.17;0;1.06;0.02;50;0.961
M_CRS_2020;M;105102;0.26;0.2;0.11;0.2;0.11;0;0.92;0.022;45.455;0.957
M_CRS_2020;M;106100;0.49;0.42;0.24;0.26;0.16;0;1.15;0.015;65.625;0.97
M_CRS_2020;M;106102;0.1;0.1;0.03;0.13;0.03;0;1.26;0.027;36.923;0.947
M_CRS_2020;M;106103;0.1;0.09;0.07;0.09;0.03;0;0.77;0.021;48;0.959
M_CRS_2020;M;107100;0.56;0.76;0.32;0.34;0.24;0;1.25;0.017;58.333;0.966
M_CRS_2020;M;107101;0.18;0.22;0.12;0.21;0.11;0;0.9;0.024;40.909;0.952
M_CRS_2020;M;107102;0.15;0.12;0.08;0.09;0.06;0.02;0.83;0.033;30;0.935
M_CRS_2020;M;108100;0.17;0.12;0.14;0.16;0.13;0;0.93;0.043;23.077;0.917
M_CRS_2020;M;108101;0.13;0.11;0.1;0.09;0.12;0;0.91;0.044;22.917;0.916
M_CRS_2020;M;109100;0.58;0.65;0.45;0.72;0.75;0;0.97;0.052;19.333;0.902
M_CRS_2020;M;109101;0.27;0.17;0.06;0.11;0.07;0;1.33;0.016;60.714;0.968
M_CRS_2020;M;110100;0.57;0.76;0.33;0.81;0.33;0;1.29;0.03;33.778;0.942
M_CRS_2020;M;110120;0.5;0.38;0.29;0.29;0.25;0;1.02;0.026;38;0.949
M_CRS_2020;M;110150;0.13;0.09;0.08;0.12;0.07;0.04;0.77;0.089;11.25;0.837
M_CRS_2020;M;111100;0.64;0.67;0.34;0.44;0.22;0.1;1.01;0.031;32;0.939
M_CRS_2020;M;111101;0.55;0.49;0.29;0.44;0.17;0.09;1.15;0.037;27.222;0.929
M_CRS_2020;M;111195;0.48;0.35;0.15;0.29;0.16;0.08;1.67;0.046;21.875;0.913
M_CRS_2020;M;112100;0.43;0.99;0.18;0.4;0.24;0;1.41;0.022;44.792;0.956
M_CRS_2020;M;112101;0.22;0.22;0.27;0.01;0.1;0;0.87;0.031;32.593;0.94
M_CRS_2020;M;112102;0.26;0.32;0.07;0.16;0.08;0;1.63;0.013;78;0.975
M_CRS_2020;M;112103;0.12;0.29;0.01;0.1;0;0;2.31;0.017;57.6;0.966
M_CRS_2020;M;112104;0.1;0.13;0;0.05;0.03;0;1.97;0.012;83.333;0.976
M_CRS_2020;M;113100;0.69;0.81;0.56;0.75;0.4;0.14;1.09;0.041;24.643;0.922
M_CRS_2020;M;113130;0.2;0.15;0.06;0.07;0.05;0.04;1.15;0.053;18.75;0.899
M_CRS_2020;M;113180;0.28;0.24;0.22;0.31;0.14;0;0.97;0.027;37.161;0.948
M_CRS_2020;M;114101;1;1;0.69;0.63;0.54;0;1.15;0.022;46.296;0.958
M_CRS_2020;M;114103;0.4;0.37;0.27;0.43;0.15;0.04;0.97;0.024;41.302;0.953
M_CRS_2020;M;115100;0.58;0.53;0.39;0.46;0.35;0.14;1.17;0.053;18.929;0.9
M_CRS_2020;M;115107;0.13;0.17;0.08;0.13;0.08;0;1;0.025;40.625;0.952
M_CRS_2020;M;116100;0.24;0.3;0.21;0.35;0.2;0;0.92;0.033;30;0.935
M_CRS_2020;M;116105;0.61;0.57;0.46;0.61;0.39;0;1.15;0.027;36.538;0.947
M_CRS_2020;M;116108;0.2;0.17;0.18;0.21;0.14;0;0.9;0.033;30.357;0.936
M_CRS_2020;M;117101;0.49;0.4;0.31;0.37;0.27;0.06;0.98;0.03;33.333;0.942
M_CRS_2020;M;117102;0.12;0.09;0.08;0.11;0.07;0.05;0.79;0.111;9;0.8
M_CRS_2020;M;118100;0.93;0.89;0.46;0.75;0.36;0.23;1.3;0.052;19.348;0.902
M_CRS_2020;M;118105;0.11;0.05;0.06;0.11;0.03;0.14;0.7;0.56;1.786;0.282
M_CRS_2020;M;119100;0.49;0.5;0.31;0.46;0.24;0;1.06;0.02;51.042;0.962
M_CRS_2020;M;120101;0.01;0.01;0.4;0.48;0.25;0.05;0.99;1;1;0
M_CRS_2020;M;121109;0.7;0.88;0.44;0.49;0.34;0.1;1.15;0.029;35;0.944
M_CRS_2020;M;122100;0.43;0.52;0.3;0.37;0.26;0.08;1.05;0.037;26.875;0.928
M_CRS_2020;M;123100;0.4;0.39;0.26;0.4;0.29;0;0.97;0.03;33.621;0.942
M_CRS_2020;M;124105;0.67;0.69;0.4;0.43;0.29;0.1;1.06;0.03;33.5;0.942
M_CRS_2020;M;125100;0.29;0.2;0.11;0.19;0.05;0;0.93;0.02;50.526;0.961
M_CRS_2020;M;126100;0.39;0.34;0.13;0.16;0.09;0;1.17;0.011;94.444;0.979
M_CRS_2020;M;129100;0.17;0.1;0.08;0.08;0.04;0.14;0.83;0.28;3.571;0.562
M_CRS_2020;M;129106;0.14;0.09;0.06;0.09;0.04;0.05;0.88;0.111;9;0.8
M_CRS_2020;M;133150;0.18;0.09;0.08;0.11;0.08;0.03;0.84;0.067;15;0.875
M_NIRS_2020;M;101100;0.31;0.3;0.26;0.26;0.16;0.05;0.98;0.033;1.738;0.544
M_NIRS_2020;M;102100;0.44;0.29;0.31;0.28;0.25;0.04;0.95;0.034;1.446;0.355
M_NIRS_2020;M;103100;0.64;0.8;0.33;0.44;0.23;0;1.16;0.014;1.66;0.428
M_NIRS_2020;M;103101;0.24;0.17;0.16;0.16;0.06;0;0.93;0.024;2.793;0.954
M_NIRS_2020;M;104100;0.26;0.25;0.18;0.17;0.13;0;0.85;0.021;2.577;0.945
