MODEL;S_MODEL;hospital_id;X21_value_normalized;X22_value_normalized;hospital_discharge_normalized;diagnostic_tests_normalized;surgical_interventions_normalized;medical_consultations_normalized;grd;te_input;te_output;te_directional
M_CRS_2014;M;108100;0.14;0.1;0.22;0.11;0.22;0;0.77;1;1;0
M_CRS_2014;M;108101;0.1;0.08;0.17;0.11;0.17;0;0.7;1;1;0
M_CRS_2014;M;109100;0.48;0.61;0.6;0.79;0.89;0;0.75;1;1;0
M_CRS_2014;M;109101;0.25;0.17;0.14;0.1;0.15;0;1.03;0.395;2.533;0.434
M_CRS_2014;M;110100;0.46;0.72;0.49;0.74;0.42;0;0.97;0.767;1.303;0.132
M_CRS_2014;M;110120;0.3;0.31;0.29;0.19;0.26;0;0.75;0.563;1.777;0.28
M_CRS_2014;M;110150;0.08;0.07;0.11;0.08;0.1;0;0.59;0.818;1.222;0.1
M_CRS_2014;M;111100;0.53;0.74;0.5;0.56;0.32;0.12;0.86;0.615;1.625;0.238
M_CRS_2014;M;111101;0.24;0.31;0.11;0.04;0.07;0;0.74;0.248;4.039;0.603
M_CRS_2014;M;111195;0.4;0.3;0.14;0.17;0.16;0.08;1.16;0.279;3.584;0.564
M_CRS_2014;M;112100;0.35;0.81;0.33;0.45;0.31;0;1.14;0.662;1.511;0.203
M_CRS_2014;M;112101;0.18;0.19;0.36;0.01;0.16;0;0.71;1;1;0
M_CRS_2014;M;112102;0.21;0.39;0.15;0.19;0.18;0;1.21;0.525;1.904;0.311
M_CRS_2014;M;112103;0.09;0.23;0.05;0.09;0.01;0;1.71;0.42;2.379;0.408
M_CRS_2014;M;112104;0.09;0.15;0.03;0.03;0.03;0;1.76;0.216;4.62;0.644
M_CRS_2014;M;113100;0.62;0.68;0.57;0.67;0.48;0.13;0.92;0.611;1.638;0.242
M_CRS_2014;M;113130;0.15;0.12;0.12;0.06;0.13;0;1.03;0.51;1.962;0.325
M_CRS_2014;M;113180;0.22;0.18;0.32;0.23;0.21;0;0.69;0.85;1.176;0.081
M_CRS_2014;M;114101;0.76;0.75;1;0.6;0.69;0.18;0.9;0.746;1.341;0.146
M_CRS_2014;M;114103;0.32;0.32;0.4;0.38;0.21;0.02;0.7;0.773;1.294;0.128
M_CRS_2014;M;115100;0.39;0.46;0.36;0.31;0.34;0.06;0.95;0.573;1.745;0.271
M_CRS_2014;M;115107;0.1;0.09;0.15;0.07;0.13;0;0.69;0.851;1.176;0.081
M_CRS_2014;M;116100;0.2;0.17;0.27;0.39;0.26;0.42;0.76;1;1;0
M_CRS_2014;M;116105;0.4;0.42;0.39;0.49;0.3;0;0.93;0.658;1.519;0.206
M_CRS_2014;M;116108;0.16;0.11;0.28;0.17;0.24;0.08;0.71;1;1;0
M_CRS_2014;M;117101;0.37;0.33;0.43;0.32;0.37;0;0.78;0.691;1.448;0.183
M_CRS_2014;M;117102;0.08;0.05;0.09;0.07;0.1;0;0.66;0.87;1.15;0.07
M_CRS_2014;M;118100;0.74;0.76;0.74;0.72;0.52;0.12;0.93;0.627;1.595;0.229
M_CRS_2014;M;118105;0.09;0.03;0.12;0.1;0.09;0.27;0.56;1;1;0
M_CRS_2014;M;119100;0.39;0.48;0.47;0.36;0.35;0;0.86;0.716;1.396;0.165
M_CRS_2014;M;120101;0.42;0.47;0.53;0.43;0.34;0;0.74;0.756;1.324;0.139
M_CRS_2014;M;121109;0.59;0.7;0.75;0.68;0.42;0.09;0.9;0.779;1.283;0.124
M_CRS_2014;M;122100;0.38;0.39;0.42;0.4;0.38;0.03;0.84;0.698;1.432;0.178
M_CRS_2014;M;123100;0.34;0.29;0.33;0.28;0.32;0;0.79;0.601;1.664;0.249
M_CRS_2014;M;124105;0.42;0.43;0.41;0.27;0.26;0;0.83;0.56;1.786;0.282
M_CRS_2014;M;125100;0.24;0.17;0.14;0.19;0.09;0;0.82;0.406;2.463;0.422
M_CRS_2014;M;126100;0.29;0.23;0.22;0.13;0.15;0;0.79;0.429;2.329;0.399
M_CRS_2014;M;129100;0.11;0.06;0.12;0.07;0.08;0;0.62;0.689;1.451;0.184
M_CRS_2014;M;129106;0.12;0.06;0.11;0.07;0.08;0;0.67;0.599;1.668;0.251
M_CRS_2014;M;133150;0.14;0.07;0.11;0.08;0.1;0.07;0.75;0.571;1.75;0.273
M_CRS_2015;M;101100;0.27;0.25;0.3;0.21;0.21;0.05;0.77;0.662;1.511;0.204
M_CRS_2015;M;102100;0.37;0.29;0.34;0.19;0.25;0.05;0.75;0.542;1.846;0.297
M_CRS_2015;M;103100;0.42;0.33;0.38;0.23;0.3;0;0.84;0.548;1.824;0.292
M_CRS_2015;M;103101;0.14;0.08;0.13;0.09;0.04;0;0.61;0.572;1.747;0.272
M_CRS_2015;M;104100;0.24;0.23;0.19;0.11;0.14;0;0.72;0.467;2.141;0.363
M_CRS_2015;M;105100;0.23;0.26;0.27;0.23;0.25;0;0.84;0.771;1.296;0.129
M_CRS_2015;M;105101;0.25;0.26;0.26;0.15;0.28;0;0.92;0.72;1.39;0.163
M_CRS_2015;M;105102;0.13;0.1;0.16;0.14;0.16;0;0.67;0.832;1.202;0.092
M_CRS_2015;M;106100;0.45;0.47;0.54;0.29;0.33;0;0.95;0.683;1.465;0.189
M_CRS_2015;M;106102;0.09;0.07;0.06;0.34;0.04;0;1.03;1;1;0
