hospital_id,hospital_fns_id,region,21_value,22_value,hospital_discharge,diagnostic_tests,surgical_interventions,medical_consultations,21_value_normalized,22_value_normalized,hospital_discharge_normalized,diagnostic_tests_normalized,surgical_interventions_normalized,medical_consultations_normalized,GRD
115107,9010,6,14658908.97,8096444.75,8645,373482.0,7479.0,0.0,0.1,0.09,0.19,0.08,0.16,0.0,0.68
116100,1003,7,27425009.77,18962043.15,13973,1917368.0,14538.0,19667.0,0.21,0.23,0.3,0.42,0.3,0.38,0.76
116105,1008,7,53819058.31,34950013.92,19192,2360261.0,15882.0,0.0,0.43,0.44,0.42,0.52,0.33,0.0,0.94
116108,10011,7,22391383.09,9567211.52,14927,829864.0,11286.0,3361.0,0.17,0.11,0.33,0.18,0.23,0.07,0.72
117101,1103,16,49792307.64,28080042.55,20429,1441236.0,19383.0,0.0,0.4,0.35,0.45,0.32,0.4,0.0,0.8
117102,1104,16,13482345.38,6376984.45,6783,378302.0,6188.0,0.0,0.09,0.07,0.15,0.08,0.13,0.0,0.71
118100,1203,8,93151110.32,69603873.72,30225,3397046.0,23151.0,5765.0,0.76,0.88,0.66,0.74,0.48,0.11,1.01
118105,1205,8,13585595.62,3648404.55,7052,542390.0,5002.0,18041.0,0.1,0.03,0.15,0.12,0.1,0.35,0.57
118106,1206,8,10858750.57,3458950.85,4945,406086.0,2700.0,12858.0,0.07,0.03,0.11,0.09,0.06,0.25,
119100,1303,8,49734067.29,36540870.64,20784,1772167.0,16304.0,0.0,0.4,0.46,0.45,0.39,0.34,0.0,0.83
119101,1304,8,9115662.77,2982372.91,3720,395517.0,4117.0,7275.0,0.06,0.03,0.08,0.09,0.09,0.14,
120101,1405,8,54925212.14,40642986.49,25343,2131957.0,16811.0,0.0,0.44,0.51,0.55,0.47,0.35,0.0,0.74
121109,17016,9,75357174.14,59533977.56,34057,3254481.0,22901.0,4232.0,0.61,0.75,0.75,0.71,0.48,0.08,0.95
122100,1803,14,47509429.64,35696103.52,20076,1938059.0,15025.0,2012.0,0.38,0.44,0.44,0.42,0.31,0.04,0.87
123100,1903,10,44130185.58,24806506.94,15835,1336590.0,15374.0,0.0,0.35,0.31,0.35,0.29,0.32,0.0,0.8
124105,20011,10,61724901.3,40773547.03,22230,1454463.0,15826.0,0.0,0.5,0.51,0.49,0.32,0.33,0.0,0.86
125100,2107,11,35269752.03,13284664.67,8800,992407.0,5579.0,0.0,0.28,0.16,0.19,0.22,0.12,0.0,0.76
126100,2205,12,38286691.26,22688386.63,11821,643959.0,7708.0,0.0,0.3,0.28,0.26,0.14,0.16,0.0,0.85
129100,1603,9,16247511.58,6191183.53,7497,367666.0,5374.0,0.0,0.12,0.07,0.16,0.08,0.11,0.0,0.62
129106,1604,9,17661828.38,7833428.25,7421,388228.0,5387.0,1954.0,0.13,0.09,0.16,0.08,0.11,0.04,0.7
133150,3302,10,20751956.74,7305493.82,7237,409547.0,5976.0,3982.0,0.16,0.08,0.16,0.09,0.12,0.08,0.79
