"","Anio","IdEstablecimiento","OriginalGRD","Prediction"
"1",2014,102100,0.762,0.937770751611455
"2",2014,103102,-,1.05764824097101
"3",2014,103101,0.6249,0.887993935206548
"4",2014,103104,-,1.06705741462778
"5",2014,103100,0.8336,0.931450169388076
"6",2014,103103,-,1.07703434179947
"7",2014,104103,0.6954,0.889892348988431
"8",2014,104104,-,1.03226670311191
"9",2014,104100,0.7375,0.915428280170765
"10",2014,104102,-,1.03981863391241
"11",2014,104101,-,1.01771989711524
"12",2014,105105,-,0.96670718988074
"13",2014,105104,-,1.00662109570809
"14",2014,105103,-,0.960226857983339
"15",2014,105108,-,0.959203462306877
"16",2014,105102,0.6498,0.846394933124258
"17",2014,105107,-,1.02773329040111
"18",2014,105101,0.9051,0.997002002217868
"19",2014,105100,0.8344,0.931739114256575
"20",2014,105106,-,0.99970620611482
"21",2014,107110,-,1.0899317226696
"22",2014,106103,0.6384,0.886089242816332
"23",2014,106105,-,1.05501075075142
"24",2014,106102,0.9779,1.05331370137458
"25",2014,107102,0.6471,0.906621136638728
"26",2014,106100,0.9198,0.961527878177225
"27",2014,107109,-,1.05056521751207
"28",2014,107100,1.0988,1.08458651152907
"29",2014,106104,-,1.09237502731778
"30",2014,107101,0.7166,0.844350976297181
"31",2014,107104,-,1.00387016002151
"32",2014,108101,0.7003,0.936457332264463
"33",2014,112107,-,1.07451942599442
"34",2014,107107,-,1.02231408582025
"35",2014,107105,-,1.0052953249511
"36",2014,108105,-,1.16120802882648
"37",2014,107106,-,0.996936181758706
"38",2014,108100,0.7715,0.901238521611139
"39",2014,107108,-,1.02157462477262
"40",2014,107103,-,0.970310081469162
"41",2014,108104,-,1.0761995616682
"42",2014,108102,-,1.03842229913772
"43",2014,115104,-,0.931671030077975
"44",2014,115113,-,1.07646416307143
"45",2014,115108,-,1.07609689343745
"46",2014,115109,-,1.08243584826151
"47",2014,115110,0.6191,1.05296106156785
"48",2014,115107,0.6898,0.952387028527825
"49",2014,115105,-,0.981040060537979
"50",2014,115111,-,1.07757216929695
"51",2014,115112,-,1.07023794385923
"52",2014,115106,-,1.07573371927375
"53",2014,115102,-,1.0744705080677
"54",2014,115100,0.9524,1.06003560647764
"55",2014,115114,-,1.07559621132178
"56",2014,115101,-,1.07059192839475
"57",2014,115103,-,1.07248044653748
"58",2014,116108,0.7113,0.861147179861017
"59",2014,116112,-,1.07501710934824
"60",2014,116109,-,0.983339066420776
"61",2014,116105,0.9335,1.03286662292201
"62",2014,116107,-,0.969437703779254
"63",2014,116104,-,1.0733416266418
"64",2014,116106,-,1.07536570020864
