te_input_crs,te_input_vrs,te_input_nirs,te_output_crs,te_output_vrs,te_output_nirs,te_input_crs_grd,te_input_vrs_grd,te_input_nirs_grd,te_output_crs_grd,te_output_vrs_grd,te_output_nirs_grd,te_input_crs_region,te_input_vrs_region,te_input_nirs_region,te_output_crs_region,te_output_vrs_region,te_output_nirs_region
0,0,0,0,0,0,0.158,0.231,0.258,0.242,0.233,0.238,0.852,0.852,0.852,0.852,0.852,0.852
0,0,0,0,0,0,0.158,0.231,0.258,0.242,0.233,0.238,0.852,0.852,0.852,0.852,0.852,0.852
0,0,0,0,0,0,0.158,0.231,0.258,0.242,0.233,0.238,0.852,0.852,0.852,0.852,0.852,0.852
0,0,0,0,0,0,0.158,0.231,0.258,0.242,0.233,0.238,0.852,0.852,0.852,0.852,0.852,0.852
0,0,0,0,0,0,0.158,0.231,0.258,0.242,0.233,0.238,0.852,0.852,0.852,0.852,0.852,0.852
0,0,0,0,0,0,0.158,0.231,0.258,0.242,0.233,0.238,0.852,0.852,0.852,0.852,0.852,0.852
0.158,0.158,0.158,0.158,0.158,0.158,0,0.103,0.179,0.197,0.22,0.239,0.903,0.903,0.903,0.903,0.903,0.903
0.231,0.231,0.231,0.231,0.231,0.231,0.103,0,0.111,0.161,0.21,0.239,0.953,0.953,0.953,0.953,0.953,0.953
0.258,0.258,0.258,0.258,0.258,0.258,0.179,0.111,0,0.096,0.163,0.2,0.987,0.987,0.987,0.987,0.987,0.987
0.242,0.242,0.242,0.242,0.242,0.242,0.197,0.161,0.096,0,0.078,0.118,0.99,0.99,0.99,0.99,0.99,0.99
0.233,0.233,0.233,0.233,0.233,0.233,0.22,0.21,0.163,0.078,0,0.046,0.99,0.99,0.99,0.99,0.99,0.99
0.238,0.238,0.238,0.238,0.238,0.238,0.239,0.239,0.2,0.118,0.046,0,1,1,1,1,1,1
0.852,0.852,0.852,0.852,0.852,0.852,0.903,0.953,0.987,0.99,0.99,1,0,0,0,0,0,0
0.852,0.852,0.852,0.852,0.852,0.852,0.903,0.953,0.987,0.99,0.99,1,0,0,0,0,0,0
0.852,0.852,0.852,0.852,0.852,0.852,0.903,0.953,0.987,0.99,0.99,1,0,0,0,0,0,0
0.852,0.852,0.852,0.852,0.852,0.852,0.903,0.953,0.987,0.99,0.99,1,0,0,0,0,0,0
0.852,0.852,0.852,0.852,0.852,0.852,0.903,0.953,0.987,0.99,0.99,1,0,0,0,0,0,0
0.852,0.852,0.852,0.852,0.852,0.852,0.903,0.953,0.987,0.99,0.99,1,0,0,0,0,0,0
