hospital_id,03020101,03020201,03020301,03020402,03020403,03020401,03040210,03040220,04040100,04025010,04025020,03020501,17050100,17050200,17050300,17050400,17050500,17050600,17050700,17050800,17050900,17051000,17051100,17051200,17051300,17051400,17051500,17051600,17051700,17010100,17010200,17010300,17010400,17010500,17010601,17010602,17010603,17010700,17010800,17010900,17011001,17011002,17011003,17011004,17011005,17181000,17019999,99999991,Datos Establecimiento Numero de Egresos,GRD2021
101100,134.0,,8.0,14.0,,37.0,1.0,20.0,,,,3830.0,301.0,1288.0,173.0,368.0,137.0,892.0,487.0,227.0,2165.0,88.0,427.0,127.0,735.0,530.0,1793.0,3362.0,332.0,267618.0,928914.0,46714.0,0.0,58043.0,69202.0,8744.0,138347.0,423.0,2706.0,52843.0,51731.0,3.0,26368.0,19731.0,,24.0,1611.0,26266.0,14514.0,
102100,,,,,,,,,,,,2449.0,346.0,1035.0,274.0,160.0,457.0,1318.0,211.0,48.0,2381.0,119.0,548.0,108.0,615.0,979.0,1672.0,2913.0,118.0,465170.0,771470.0,42542.0,,63469.0,69097.0,6394.0,301124.0,30.0,2882.0,34812.0,47995.0,366.0,19827.0,10196.0,4838.0,3705.0,1848.0,23417.0,15994.0,
103100,,,,,,,,,,,,,467.0,1254.0,499.0,293.0,641.0,721.0,1100.0,201.0,2487.0,118.0,1103.0,335.0,1022.0,956.0,2003.0,1734.0,101.0,421723.0,1175945.0,61604.0,341.0,84673.0,419897.0,2973.0,113641.0,69.0,2125.0,49772.0,47359.0,134.0,26434.0,20337.0,8228.0,4384.0,4930.0,61503.0,18405.0,
103101,,,,,,,,,,,,,127.0,62.0,122.0,114.0,94.0,347.0,56.0,25.0,1200.0,114.0,332.0,20.0,164.0,488.0,654.0,942.0,51.0,218569.0,482446.0,19926.0,,45371.0,32981.0,964.0,101650.0,,2185.0,23459.0,10619.0,121.0,21045.0,10234.0,597.0,1350.0,0.0,5402.0,8435.0,
104100,,,,,,,,,,,,,393.0,687.0,209.0,144.0,114.0,2175.0,222.0,81.0,1614.0,93.0,470.0,84.0,442.0,486.0,1269.0,818.0,77.0,201027.0,464646.0,38995.0,17.0,54764.0,37323.0,5927.0,60344.0,9.0,3043.0,48931.0,37616.0,31.0,17873.0,13189.0,,1787.0,0.0,5635.0,11055.0,
105100,,,,,,,,,,,,,4.0,3173.0,613.0,150.0,229.0,692.0,428.0,135.0,2189.0,88.0,590.0,195.0,638.0,713.0,212.0,399.0,2.0,440759.0,716869.0,54805.0,3.0,61555.0,26696.0,2088.0,146207.0,,2772.0,32618.0,26870.0,134.0,16544.0,16692.0,2528.0,2820.0,,38217.0,11489.0,
105101,,,,,,,,,,,,,1151.0,3.0,82.0,110.0,308.0,561.0,967.0,218.0,2034.0,155.0,1040.0,141.0,448.0,1163.0,2751.0,1200.0,222.0,227799.0,533572.0,22381.0,,41232.0,25947.0,2169.0,100913.0,174.0,1135.0,30115.0,53159.0,,18023.0,6729.0,9798.0,2222.0,,29184.0,11764.0,
105102,,,,,,,,,,,,,6.0,1008.0,276.0,97.0,214.0,1013.0,224.0,42.0,1431.0,75.0,543.0,19.0,351.0,644.0,705.0,1183.0,53.0,419789.0,633075.0,39034.0,0.0,43480.0,29574.0,10126.0,213148.0,24965.0,926.0,38400.0,26863.0,187.0,11913.0,14522.0,,2076.0,0.0,9266.0,7248.0,
106100,,,,,,,,,,,,,839.0,1483.0,593.0,91.0,203.0,256.0,213.0,71.0,1345.0,97.0,416.0,103.0,335.0,763.0,1759.0,,130.0,244070.0,808517.0,21889.0,,77278.0,47682.0,1159.0,122826.0,,2502.0,26429.0,55727.0,27.0,39675.0,11151.0,7891.0,1013.0,4971.0,48810.0,13689.0,
