te_input_crs,te_input_vrs,te_input_nirs,te_output_crs,te_output_vrs,te_output_nirs,te_input_crs_grd,te_input_vrs_grd,te_input_nirs_grd,te_output_crs_grd,te_output_vrs_grd,te_output_nirs_grd,te_input_crs_region,te_input_vrs_region,te_input_nirs_region,te_output_crs_region,te_output_vrs_region,te_output_nirs_region
0,0,0,0,0,0,0.001,0.002,0.002,0.002,0.002,0.002,0.026,0.026,0.026,0.026,0.026,0.026
0,0,0,0,0,0,0.001,0.002,0.002,0.002,0.002,0.002,0.026,0.026,0.026,0.026,0.026,0.026
0,0,0,0,0,0,0.001,0.002,0.002,0.002,0.002,0.002,0.026,0.026,0.026,0.026,0.026,0.026
0,0,0,0,0,0,0.001,0.002,0.002,0.002,0.002,0.002,0.026,0.026,0.026,0.026,0.026,0.026
0,0,0,0,0,0,0.001,0.002,0.002,0.002,0.002,0.002,0.026,0.026,0.026,0.026,0.026,0.026
0,0,0,0,0,0,0.001,0.002,0.002,0.002,0.002,0.002,0.026,0.026,0.026,0.026,0.026,0.026
0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.001,0.001,0.002,0.002,0.029,0.029,0.029,0.029,0.029,0.029
0.002,0.002,0.002,0.002,0.002,0.002,0,0,0,0.001,0.002,0.002,0.032,0.032,0.032,0.032,0.032,0.032
0.002,0.002,0.002,0.002,0.002,0.002,0.001,0,0,0,0.001,0.001,0.034,0.034,0.034,0.034,0.034,0.034
0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0,0,0,0,0.034,0.034,0.034,0.034,0.034,0.034
0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0,0,0,0.034,0.034,0.034,0.034,0.034,0.034
0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0,0,0,0.035,0.035,0.035,0.035,0.035,0.035
0.026,0.026,0.026,0.026,0.026,0.026,0.029,0.032,0.034,0.034,0.034,0.035,0,0,0,0,0,0
0.026,0.026,0.026,0.026,0.026,0.026,0.029,0.032,0.034,0.034,0.034,0.035,0,0,0,0,0,0
0.026,0.026,0.026,0.026,0.026,0.026,0.029,0.032,0.034,0.034,0.034,0.035,0,0,0,0,0,0
0.026,0.026,0.026,0.026,0.026,0.026,0.029,0.032,0.034,0.034,0.034,0.035,0,0,0,0,0,0
0.026,0.026,0.026,0.026,0.026,0.026,0.029,0.032,0.034,0.034,0.034,0.035,0,0,0,0,0,0
0.026,0.026,0.026,0.026,0.026,0.026,0.029,0.032,0.034,0.034,0.034,0.035,0,0,0,0,0,0
