te_input_crs,te_input_vrs,te_input_nirs,te_output_crs,te_output_vrs,te_output_nirs,te_input_crs_grd,te_input_vrs_grd,te_input_nirs_grd,te_output_crs_grd,te_output_vrs_grd,te_output_nirs_grd,te_input_crs_region,te_input_vrs_region,te_input_nirs_region,te_output_crs_region,te_output_vrs_region,te_output_nirs_region
0,0,0,0,0,0,0.001,0.007,0.015,0.03,0.068,0.114,0.216,0.216,0.216,0.216,0.216,0.216
0,0,0,0,0,0,0.001,0.007,0.015,0.03,0.068,0.114,0.216,0.216,0.216,0.216,0.216,0.216
0,0,0,0,0,0,0.001,0.007,0.015,0.03,0.068,0.114,0.216,0.216,0.216,0.216,0.216,0.216
0,0,0,0,0,0,0.001,0.007,0.015,0.03,0.068,0.114,0.216,0.216,0.216,0.216,0.216,0.216
0,0,0,0,0,0,0.001,0.007,0.015,0.03,0.068,0.114,0.216,0.216,0.216,0.216,0.216,0.216
0,0,0,0,0,0,0.001,0.007,0.015,0.03,0.068,0.114,0.216,0.216,0.216,0.216,0.216,0.216
0.001,0.001,0.001,0.001,0.001,0.001,0,0.003,0.01,0.025,0.063,0.11,0.213,0.213,0.213,0.213,0.213,0.213
0.007,0.007,0.007,0.007,0.007,0.007,0.003,0,0.003,0.016,0.052,0.098,0.214,0.214,0.214,0.214,0.214,0.214
0.015,0.015,0.015,0.015,0.015,0.015,0.01,0.003,0,0.007,0.037,0.079,0.212,0.212,0.212,0.212,0.212,0.212
0.03,0.03,0.03,0.03,0.03,0.03,0.025,0.016,0.007,0,0.012,0.04,0.214,0.214,0.214,0.214,0.214,0.214
0.068,0.068,0.068,0.068,0.068,0.068,0.063,0.052,0.037,0.012,0,0.008,0.234,0.234,0.234,0.234,0.234,0.234
0.114,0.114,0.114,0.114,0.114,0.114,0.11,0.098,0.079,0.04,0.008,0,0.263,0.263,0.263,0.263,0.263,0.263
0.216,0.216,0.216,0.216,0.216,0.216,0.213,0.214,0.212,0.214,0.234,0.263,0,0,0,0,0,0
0.216,0.216,0.216,0.216,0.216,0.216,0.213,0.214,0.212,0.214,0.234,0.263,0,0,0,0,0,0
0.216,0.216,0.216,0.216,0.216,0.216,0.213,0.214,0.212,0.214,0.234,0.263,0,0,0,0,0,0
0.216,0.216,0.216,0.216,0.216,0.216,0.213,0.214,0.212,0.214,0.234,0.263,0,0,0,0,0,0
0.216,0.216,0.216,0.216,0.216,0.216,0.213,0.214,0.212,0.214,0.234,0.263,0,0,0,0,0,0
0.216,0.216,0.216,0.216,0.216,0.216,0.213,0.214,0.212,0.214,0.234,0.263,0,0,0,0,0,0
