te_input_crs,te_input_vrs,te_input_nirs,te_output_crs,te_output_vrs,te_output_nirs,te_input_crs_grd,te_input_vrs_grd,te_input_nirs_grd,te_output_crs_grd,te_output_vrs_grd,te_output_nirs_grd,te_input_crs_region,te_input_vrs_region,te_input_nirs_region,te_output_crs_region,te_output_vrs_region,te_output_nirs_region
0,0,0,0,0,0,0,0,0,0,0.001,0.001,1,1,1,0.867,0.867,0.867
0,0,0,0,0,0,0,0,0,0,0.001,0.001,1,1,1,0.867,0.867,0.867
0,0,0,0,0,0,0,0,0,0,0.001,0.001,1,1,1,0.867,0.867,0.867
0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.968,0.968,0.968,0.596,0.596,0.596
0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.968,0.968,0.968,0.596,0.596,0.596
0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.968,0.968,0.968,0.596,0.596,0.596
0,0,0,0,0,0,0,0,0,0,0,0.001,1,1,1,0.867,0.867,0.867
0,0,0,0,0,0,0,0,0,0,0,0.001,1,1,1,0.867,0.867,0.867
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.867,0.867,0.867
0,0,0,0,0,0,0,0,0,0,0,0,0.968,0.968,0.968,0.592,0.592,0.592
0.001,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0.968,0.968,0.968,0.59,0.59,0.59
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0.969,0.969,0.969,0.588,0.588,0.588
1,1,1,0.968,0.968,0.968,1,1,1,0.968,0.968,0.969,0,0,0,0,0,0
1,1,1,0.968,0.968,0.968,1,1,1,0.968,0.968,0.969,0,0,0,0,0,0
1,1,1,0.968,0.968,0.968,1,1,1,0.968,0.968,0.969,0,0,0,0,0,0
0.867,0.867,0.867,0.596,0.596,0.596,0.867,0.867,0.867,0.592,0.59,0.588,0,0,0,0,0,0
0.867,0.867,0.867,0.596,0.596,0.596,0.867,0.867,0.867,0.592,0.59,0.588,0,0,0,0,0,0
0.867,0.867,0.867,0.596,0.596,0.596,0.867,0.867,0.867,0.592,0.59,0.588,0,0,0,0,0,0
