DMUs,region,GRD,period,21_value_normalized,22_value_normalized,hospital_discharge_normalized,diagnostic_tests_normalized,surgical_interventions_normalized,medical_consultations_normalized
117102,16,0.71,2015,0.09,0.06,0.1,0.07,0.1,0.0
102100,1,0.75,2015,0.37,0.29,0.34,0.19,0.25,0.05
116108,7,0.72,2015,0.17,0.1,0.29,0.17,0.21,0.07
117101,16,0.8,2015,0.4,0.35,0.42,0.31,0.39,0.0
116105,7,0.94,2015,0.44,0.44,0.39,0.51,0.31,0.0
116100,7,0.76,2015,0.21,0.23,0.27,0.41,0.28,0.38
115107,6,0.68,2015,0.1,0.09,0.14,0.07,0.13,0.0
115100,6,0.95,2015,0.4,0.52,0.36,0.34,0.38,0.08
103100,3,0.84,2015,0.42,0.33,0.38,0.23,0.3,0.0
119100,8,0.83,2015,0.4,0.46,0.42,0.38,0.32,0.0
110150,13,0.63,2015,0.11,0.07,0.11,0.1,0.11,0.01
123100,10,0.8,2015,0.35,0.3,0.31,0.29,0.3,0.0
106103,5,0.65,2015,0.09,0.09,0.16,0.12,0.08,0.0
113180,13,0.78,2015,0.23,0.18,0.29,0.23,0.17,0.0
114101,13,0.86,2015,0.84,0.72,0.9,0.61,0.64,0.17
114103,13,0.67,2015,0.34,0.33,0.39,0.4,0.21,0.02
118100,8,1.01,2015,0.78,0.89,0.64,0.74,0.47,0.11
111101,13,0.77,2015,0.36,0.35,0.27,0.31,0.15,0.03
112101,13,0.68,2015,0.18,0.21,0.34,0.01,0.16,0.0
113100,13,0.91,2015,0.62,0.67,0.57,0.71,0.49,0.13
129100,9,0.62,2015,0.11,0.06,0.12,0.07,0.09,0.0
122100,14,0.87,2015,0.38,0.45,0.41,0.42,0.29,0.04
107101,5,0.72,2015,0.15,0.15,0.21,0.19,0.18,0.0
105102,4,0.67,2015,0.13,0.1,0.16,0.14,0.16,0.0
129106,9,0.7,2015,0.12,0.08,0.12,0.08,0.09,0.04
125100,11,0.76,2015,0.28,0.15,0.15,0.21,0.09,0.0
101100,15,0.77,2015,0.27,0.25,0.3,0.21,0.21,0.05
107100,5,1.15,2015,0.47,0.62,0.46,0.45,0.34,0.0
107102,5,0.68,2015,0.12,0.08,0.11,0.07,0.09,0.0
108101,5,0.7,2015,0.11,0.09,0.16,0.1,0.17,0.0
108100,5,0.74,2015,0.14,0.1,0.21,0.11,0.18,0.0
105101,4,0.92,2015,0.25,0.26,0.26,0.15,0.28,0.0
106100,5,0.95,2015,0.45,0.47,0.54,0.29,0.33,0.0
116100,7,0.77,2016,0.23,0.26,0.26,0.43,0.28,0.0
107101,5,0.71,2016,0.17,0.17,0.19,0.2,0.17,0.0
110100,13,1.0,2016,0.53,0.68,0.5,0.8,0.4,0.0
118105,8,0.59,2016,0.09,0.03,0.1,0.12,0.09,0.31
124105,10,0.9,2016,0.55,0.55,0.47,0.35,0.34,0.0
107100,5,1.2,2016,0.48,0.68,0.39,0.48,0.33,0.0
117101,16,0.82,2016,0.44,0.37,0.39,0.31,0.37,0.0
111100,13,0.91,2016,0.57,0.8,0.47,0.57,0.31,0.13
115107,6,0.76,2016,0.11,0.13,0.14,0.1,0.12,0.0
113130,13,1.12,2016,0.17,0.13,0.1,0.08,0.1,0.0
112103,13,1.63,2016,0.11,0.26,0.06,0.11,0.0,0.0
103101,3,0.64,2016,0.14,0.11,0.13,0.1,0.04,0.0
113100,13,0.87,2016,0.65,0.68,0.57,0.77,0.46,0.12
111195,13,1.22,2016,0.43,0.34,0.12,0.18,0.22,0.07
121109,9,0.97,2016,0.65,0.83,0.69,0.7,0.46,0.09
106103,5,0.67,2016,0.1,0.1,0.14,0.13,0.07,0.0
123100,10,0.84,2016,0.37,0.32,0.3,0.31,0.3,0.0
103100,3,0.85,2016,0.42,0.4,0.38,0.27,0.35,0.0
113180,13,0.76,2016,0.24,0.19,0.28,0.25,0.19,0.0
110150,13,0.64,2016,0.12,0.08,0.1,0.12,0.1,0.02
114101,13,0.91,2016,0.86,0.83,0.91,0.64,0.65,0.15
108100,5,0.79,2016,0.14,0.11,0.19,0.11,0.19,0.0
114103,13,0.76,2016,0.36,0.34,0.36,0.41,0.2,0.02
108101,5,0.73,2016,0.11,0.1,0.16,0.1,0.18,0.0
126100,12,0.92,2016,0.32,0.29,0.21,0.15,0.14,0.0
118100,8,1.07,2016,0.84,0.85,0.66,0.8,0.51,0.12
105101,4,0.96,2016,0.27,0.26,0.24,0.16,0.28,0.0
111101,13,0.84,2016,0.44,0.4,0.31,0.36,0.19,0.05
115100,6,1.0,2016,0.45,0.62,0.32,0.34,0.31,0.08
129106,9,0.7,2016,0.13,0.09,0.11,0.09,0.07,0.04
112101,13,0.72,2016,0.2,0.19,0.31,0.01,0.15,0.0
125100,11,0.78,2016,0.3,0.2,0.16,0.21,0.09,0.0
129100,9,0.64,2016,0.12,0.07,0.11,0.08,0.09,0.11
116105,7,0.98,2016,0.51,0.48,0.42,0.56,0.34,0.0
119100,8,0.9,2016,0.42,0.46,0.41,0.41,0.32,0.0
133150,10,0.83,2016,0.16,0.09,0.11,0.09,0.09,0.04
112102,13,1.27,2016,0.23,0.33,0.15,0.19,0.14,0.0
102100,1,0.77,2016,0.39,0.28,0.34,0.2,0.25,0.04
120101,8,0.78,2016,0.48,0.54,0.49,0.48,0.32,0.07
112104,13,1.77,2016,0.1,0.14,0.03,0.05,0.04,0.0
110120,13,0.82,2016,0.34,0.42,0.3,0.23,0.3,0.0
107102,5,0.73,2016,0.13,0.09,0.11,0.08,0.09,0.04
117102,16,0.69,2016,0.1,0.07,0.11,0.07,0.12,0.0
112100,13,1.17,2016,0.37,0.73,0.16,0.38,0.31,0.0
106100,5,1.01,2016,0.48,0.44,0.51,0.29,0.33,0.0
109101,13,1.09,2016,0.27,0.19,0.12,0.12,0.12,0.0
105102,4,0.67,2016,0.14,0.1,0.15,0.15,0.15,0.0
101100,15,0.78,2016,0.28,0.26,0.31,0.22,0.21,0.05
122100,14,0.9,2016,0.41,0.49,0.4,0.43,0.29,0.04
106102,5,1.02,2016,0.09,0.07,0.07,0.27,0.04,0.0
116108,7,0.76,2016,0.18,0.12,0.28,0.18,0.2,0.01
104100,3,0.76,2016,0.24,0.24,0.19,0.12,0.14,0.0
109100,13,0.79,2016,0.53,0.5,0.53,0.81,0.89,0.0
