te_input_crs,te_input_vrs,te_input_nirs,te_output_crs,te_output_vrs,te_output_nirs,te_input_crs_grd,te_input_vrs_grd,te_input_nirs_grd,te_output_crs_grd,te_output_vrs_grd,te_output_nirs_grd,te_input_crs_region,te_input_vrs_region,te_input_nirs_region,te_output_crs_region,te_output_vrs_region,te_output_nirs_region
0,0,0,0,0,0,0,0,0,0.004,0.007,0.01,1,1,1,0.874,0.874,0.874
0,0,0,0,0,0,0,0,0,0.004,0.007,0.01,1,1,1,0.874,0.874,0.874
0,0,0,0,0,0,0,0,0,0.004,0.007,0.01,1,1,1,0.874,0.874,0.874
0,0,0,0,0,0,0,0.001,0.002,0.004,0.007,0.01,0.877,0.877,0.877,0.07,0.07,0.07
0,0,0,0,0,0,0,0.001,0.002,0.004,0.007,0.01,0.877,0.877,0.877,0.07,0.07,0.07
0,0,0,0,0,0,0,0.001,0.002,0.004,0.007,0.01,0.877,0.877,0.877,0.07,0.07,0.07
0,0,0,0,0,0,0,0,0,0.006,0.009,0.013,1,1,1,0.874,0.874,0.874
0,0,0,0.001,0.001,0.001,0,0,0,0.003,0.005,0.008,1,1,1,0.874,0.874,0.874
0,0,0,0.002,0.002,0.002,0,0,0,0.001,0.002,0.004,1,1,1,0.874,0.874,0.874
0.004,0.004,0.004,0.004,0.004,0.004,0.006,0.003,0.001,0,0,0.002,0.879,0.879,0.879,0.057,0.057,0.057
0.007,0.007,0.007,0.007,0.007,0.007,0.009,0.005,0.002,0,0,0,0.876,0.876,0.876,0.055,0.055,0.055
0.01,0.01,0.01,0.01,0.01,0.01,0.013,0.008,0.004,0.002,0,0,0.875,0.875,0.875,0.053,0.053,0.053
1,1,1,0.877,0.877,0.877,1,1,1,0.879,0.876,0.875,0,0,0,0,0,0
1,1,1,0.877,0.877,0.877,1,1,1,0.879,0.876,0.875,0,0,0,0,0,0
1,1,1,0.877,0.877,0.877,1,1,1,0.879,0.876,0.875,0,0,0,0,0,0
0.874,0.874,0.874,0.07,0.07,0.07,0.874,0.874,0.874,0.057,0.055,0.053,0,0,0,0,0,0
0.874,0.874,0.874,0.07,0.07,0.07,0.874,0.874,0.874,0.057,0.055,0.053,0,0,0,0,0,0
0.874,0.874,0.874,0.07,0.07,0.07,0.874,0.874,0.874,0.057,0.055,0.053,0,0,0,0,0,0
