te_input_crs,te_input_vrs,te_input_nirs,te_output_crs,te_output_vrs,te_output_nirs,te_directional_crs,te_directional_vrs,te_directional_nirs,te_input_region_crs,te_input_region_vrs,te_input_region_nirs,te_output_region_crs,te_output_region_vrs,te_output_region_nirs,te_directional_region_crs,te_directional_region_vrs,te_directional_region_nirs,te_input_grd_crs,te_input_grd_vrs,te_input_grd_nirs,te_output_grd_crs,te_output_grd_vrs,te_output_grd_nirs,te_directional_grd_crs,te_directional_grd_vrs,te_directional_grd_nirs
0,0.089,0.053,0.779,0.649,0.669,0.36,0.383,0.38,0.21,0.21,0.211,0.479,0.42,0.467,0.397,0.412,0.406,0.065,0.107,0.084,0.607,0.527,0.537,0.374,0.389,0.384
0.089,0,0.072,0.723,0.596,0.614,0.395,0.429,0.418,0.181,0.176,0.179,0.446,0.384,0.434,0.44,0.455,0.449,0.062,0.043,0.062,0.567,0.49,0.497,0.416,0.436,0.427
0.053,0.072,0,0.763,0.64,0.66,0.386,0.412,0.41,0.194,0.192,0.193,0.469,0.409,0.457,0.427,0.442,0.436,0.056,0.087,0.056,0.594,0.516,0.526,0.402,0.418,0.414
0.779,0.723,0.763,0,0.17,0.165,0.92,0.965,0.942,0.623,0.602,0.618,0.602,0.583,0.601,0.985,1,0.991,0.739,0.703,0.731,0.248,0.317,0.299,0.955,0.979,0.966
0.649,0.596,0.64,0.17,0,0.043,0.789,0.832,0.808,0.507,0.485,0.503,0.512,0.485,0.508,0.85,0.866,0.857,0.612,0.577,0.607,0.209,0.221,0.201,0.822,0.846,0.832
0.669,0.614,0.66,0.165,0.043,0,0.806,0.851,0.825,0.531,0.509,0.527,0.522,0.496,0.519,0.868,0.883,0.874,0.632,0.596,0.628,0.236,0.252,0.229,0.84,0.865,0.85
0.36,0.395,0.386,0.92,0.789,0.806,0,0.065,0.041,0.442,0.466,0.457,0.7,0.637,0.677,0.186,0.184,0.186,0.383,0.409,0.397,0.774,0.697,0.708,0.049,0.076,0.062
0.383,0.429,0.412,0.965,0.832,0.851,0.065,0,0.051,0.476,0.5,0.49,0.73,0.669,0.707,0.171,0.168,0.17,0.411,0.443,0.427,0.81,0.731,0.744,0.04,0.028,0.037
0.38,0.418,0.41,0.942,0.808,0.825,0.041,0.051,0,0.468,0.492,0.482,0.718,0.657,0.695,0.176,0.173,0.175,0.405,0.432,0.421,0.796,0.718,0.729,0.044,0.061,0.042
0.21,0.181,0.194,0.623,0.507,0.531,0.442,0.476,0.468,0,0.081,0.049,0.482,0.411,0.465,0.504,0.512,0.51,0.184,0.174,0.179,0.454,0.381,0.394,0.466,0.485,0.479
