te_input_crs,te_input_vrs,te_input_nirs,te_output_crs,te_output_vrs,te_output_nirs,te_directional_crs,te_directional_vrs,te_directional_nirs,te_input_region_crs,te_input_region_vrs,te_input_region_nirs,te_output_region_crs,te_output_region_vrs,te_output_region_nirs,te_directional_region_crs,te_directional_region_vrs,te_directional_region_nirs,te_input_grd_crs,te_input_grd_vrs,te_input_grd_nirs,te_output_grd_crs,te_output_grd_vrs,te_output_grd_nirs,te_directional_grd_crs,te_directional_grd_vrs,te_directional_grd_nirs
0,0.105,0.072,0.76,0.617,0.639,0.35,0.377,0.372,0.207,0.218,0.211,0.391,0.283,0.375,0.392,0.412,0.403,0.066,0.117,0.094,0.586,0.498,0.507,0.365,0.383,0.376
0.105,0,0.076,0.694,0.558,0.577,0.395,0.436,0.423,0.167,0.17,0.168,0.349,0.23,0.333,0.447,0.467,0.458,0.076,0.042,0.068,0.532,0.448,0.455,0.417,0.442,0.431
0.072,0.076,0,0.736,0.605,0.627,0.382,0.415,0.411,0.186,0.194,0.188,0.375,0.264,0.359,0.431,0.45,0.441,0.065,0.088,0.054,0.565,0.483,0.492,0.401,0.421,0.415
0.76,0.694,0.736,0,0.193,0.188,0.915,0.966,0.942,0.599,0.568,0.591,0.52,0.515,0.52,0.98,1,0.987,0.719,0.677,0.707,0.231,0.303,0.299,0.949,0.978,0.963
0.617,0.558,0.605,0.193,0,0.043,0.773,0.821,0.795,0.473,0.441,0.466,0.4,0.383,0.396,0.835,0.857,0.843,0.579,0.541,0.574,0.195,0.186,0.184,0.806,0.834,0.818
0.639,0.577,0.627,0.188,0.043,0,0.792,0.841,0.814,0.497,0.465,0.49,0.419,0.405,0.417,0.854,0.875,0.861,0.601,0.561,0.596,0.216,0.212,0.206,0.826,0.854,0.837
0.35,0.395,0.382,0.915,0.773,0.792,0,0.072,0.05,0.438,0.47,0.456,0.63,0.532,0.602,0.183,0.186,0.184,0.375,0.408,0.393,0.767,0.686,0.697,0.049,0.079,0.066
0.377,0.436,0.415,0.966,0.821,0.841,0.072,0,0.052,0.48,0.511,0.497,0.668,0.574,0.641,0.17,0.17,0.169,0.409,0.448,0.429,0.812,0.729,0.741,0.048,0.028,0.041
0.372,0.423,0.411,0.942,0.795,0.814,0.05,0.052,0,0.469,0.5,0.486,0.655,0.559,0.627,0.174,0.175,0.174,0.401,0.436,0.422,0.795,0.711,0.722,0.047,0.06,0.04
0.207,0.167,0.186,0.599,0.473,0.497,0.438,0.48,0.469,0,0.09,0.052,0.359,0.208,0.335,0.5,0.514,0.508,0.183,0.165,0.176,0.421,0.342,0.351,0.463,0.487,0.478
0.218,0.17,0.194,0.568,0.441,0.465,0.47,0.511,0.5,0.09,0,0.073,0.286,0.178,0.271,0.526,0.549,0.536,0.182,0.155,0.171,0.393,0.312,0.321,0.497,0.521,0.511
0.211,0.168,0.188,0.591,0.466,0.49,0.456,0.497,0.486,0.052,0.073,0,0.344,0.201,0.331,0.515,0.531,0.526,0.186,0.163,0.177,0.411,0.333,0.342,0.48,0.504,0.494
0.391,0.349,0.375,0.52,0.4,0.419,0.63,0.668,0.655,0.359,0.286,0.344,0,0.214,0.077,0.666,0.703,0.678,0.35,0.323,0.343,0.394,0.329,0.334,0.66,0.682,0.672
0.283,0.23,0.264,0.515,0.383,0.405,0.532,0.574,0.559,0.208,0.178,0.201,0.214,0,0.199,0.582,0.604,0.592,0.246,0.211,0.238,0.355,0.274,0.281,0.56,0.585,0.573
0.375,0.333,0.359,0.52,0.396,0.417,0.602,0.641,0.627,0.335,0.271,0.331,0.077,0.199,0,0.641,0.676,0.65,0.333,0.307,0.326,0.393,0.324,0.33,0.633,0.655,0.645
0.392,0.447,0.431,0.98,0.835,0.854,0.183,0.17,0.174,0.5,0.526,0.515,0.666,0.582,0.641,0,0.06,0.031,0.424,0.459,0.444,0.824,0.741,0.751,0.171,0.172,0.169
0.412,0.467,0.45,1,0.857,0.875,0.186,0.17,0.175,0.514,0.549,0.531,0.703,0.604,0.676,0.06,0,0.052,0.447,0.481,0.467,0.843,0.762,0.772,0.168,0.167,0.164
0.403,0.458,0.441,0.987,0.843,0.861,0.184,0.169,0.174,0.508,0.536,0.526,0.678,0.592,0.65,0.031,0.052,0,0.435,0.469,0.455,0.832,0.75,0.76,0.172,0.171,0.169
0.066,0.076,0.065,0.719,0.579,0.601,0.375,0.409,0.401,0.183,0.182,0.186,0.35,0.246,0.333,0.424,0.447,0.435,0,0.069,0.042,0.554,0.467,0.477,0.397,0.417,0.41
0.117,0.042,0.088,0.677,0.541,0.561,0.408,0.448,0.436,0.165,0.155,0.163,0.323,0.211,0.307,0.459,0.481,0.469,0.069,0,0.055,0.518,0.433,0.441,0.433,0.457,0.446
0.094,0.068,0.054,0.707,0.574,0.596,0.393,0.429,0.422,0.176,0.171,0.177,0.343,0.238,0.326,0.444,0.467,0.455,0.042,0.055,0,0.544,0.461,0.47,0.416,0.437,0.43
0.586,0.532,0.565,0.231,0.195,0.216,0.767,0.812,0.795,0.421,0.393,0.411,0.394,0.355,0.393,0.824,0.843,0.832,0.554,0.518,0.544,0,0.117,0.114,0.796,0.823,0.81
0.498,0.448,0.483,0.303,0.186,0.212,0.686,0.729,0.711,0.342,0.312,0.333,0.329,0.274,0.324,0.741,0.762,0.75,0.467,0.433,0.461,0.117,0,0.029,0.714,0.74,0.727
0.507,0.455,0.492,0.299,0.184,0.206,0.697,0.741,0.722,0.351,0.321,0.342,0.334,0.281,0.33,0.751,0.772,0.76,0.477,0.441,0.47,0.114,0.029,0,0.726,0.752,0.738
0.365,0.417,0.401,0.949,0.806,0.826,0.049,0.048,0.047,0.463,0.497,0.48,0.66,0.56,0.633,0.171,0.168,0.172,0.397,0.433,0.416,0.796,0.714,0.726,0,0.041,0.027
0.383,0.442,0.421,0.978,0.834,0.854,0.079,0.028,0.06,0.487,0.521,0.504,0.682,0.585,0.655,0.172,0.167,0.171,0.417,0.457,0.437,0.823,0.74,0.752,0.041,0,0.031
0.376,0.431,0.415,0.963,0.818,0.837,0.066,0.041,0.04,0.478,0.511,0.494,0.672,0.573,0.645,0.169,0.164,0.169,0.41,0.446,0.43,0.81,0.727,0.738,0.027,0.031,0
