te_input_crs,te_input_vrs,te_input_nirs,te_output_crs,te_output_vrs,te_output_nirs,te_directional_crs,te_directional_vrs,te_directional_nirs,te_input_region_crs,te_input_region_vrs,te_input_region_nirs,te_output_region_crs,te_output_region_vrs,te_output_region_nirs,te_directional_region_crs,te_directional_region_vrs,te_directional_region_nirs,te_input_grd_crs,te_input_grd_vrs,te_input_grd_nirs,te_output_grd_crs,te_output_grd_vrs,te_output_grd_nirs,te_directional_grd_crs,te_directional_grd_vrs,te_directional_grd_nirs
0,0.007,0.007,1,0.063,0.063,0.02,0.015,0.015,0.019,0.02,0.02,0.145,0.023,0.025,0.008,0.007,0.008,0,0.007,0.007,0.981,0.061,0.061,0.02,0.015,0.015
0.007,0,0.001,0.998,0.062,0.062,0.018,0.016,0.016,0.017,0.019,0.018,0.142,0.021,0.023,0.01,0.01,0.01,0.007,0.001,0.001,0.979,0.06,0.06,0.018,0.016,0.016
0.007,0.001,0,0.998,0.063,0.063,0.019,0.017,0.017,0.018,0.019,0.019,0.142,0.021,0.023,0.01,0.01,0.01,0.007,0.001,0.001,0.98,0.06,0.06,0.019,0.017,0.017
1,0.998,0.998,0,0.945,0.945,0.981,0.987,0.987,0.983,0.981,0.982,0.98,0.979,0.978,0.997,0.998,0.997,1,0.997,0.998,0.082,0.947,0.947,0.981,0.988,0.987
0.063,0.062,0.063,0.945,0,0,0.047,0.05,0.05,0.049,0.047,0.048,0.146,0.045,0.044,0.06,0.061,0.061,0.063,0.062,0.063,0.927,0.008,0.008,0.047,0.05,0.05
0.063,0.062,0.063,0.945,0,0,0.047,0.05,0.05,0.049,0.047,0.048,0.146,0.045,0.044,0.06,0.061,0.061,0.063,0.062,0.063,0.927,0.008,0.008,0.047,0.05,0.05
0.02,0.018,0.019,0.981,0.047,0.047,0,0.01,0.01,0.006,0.005,0.006,0.141,0.006,0.009,0.018,0.019,0.019,0.02,0.018,0.019,0.963,0.044,0.044,0,0.01,0.01
0.015,0.016,0.017,0.987,0.05,0.05,0.01,0,0,0.011,0.011,0.011,0.144,0.014,0.015,0.013,0.014,0.013,0.015,0.016,0.017,0.969,0.047,0.047,0.01,0.001,0.001
0.015,0.016,0.017,0.987,0.05,0.05,0.01,0,0,0.011,0.011,0.011,0.144,0.013,0.015,0.013,0.014,0.013,0.015,0.016,0.017,0.968,0.047,0.047,0.01,0.001,0.001
0.019,0.017,0.018,0.983,0.049,0.049,0.006,0.011,0.011,0,0.004,0.004,0.144,0.009,0.012,0.019,0.019,0.018,0.019,0.017,0.018,0.964,0.046,0.046,0.006,0.011,0.011
0.02,0.019,0.019,0.981,0.047,0.047,0.005,0.011,0.011,0.004,0,0.002,0.143,0.008,0.01,0.019,0.02,0.02,0.02,0.019,0.019,0.963,0.044,0.044,0.005,0.011,0.011
0.02,0.018,0.019,0.982,0.048,0.048,0.006,0.011,0.011,0.004,0.002,0,0.143,0.008,0.012,0.019,0.019,0.019,0.02,0.018,0.018,0.963,0.045,0.045,0.006,0.011,0.011
0.145,0.142,0.142,0.98,0.146,0.146,0.141,0.144,0.144,0.144,0.143,0.143,0,0.139,0.139,0.142,0.145,0.145,0.145,0.142,0.142,0.962,0.145,0.145,0.141,0.144,0.144
0.023,0.021,0.021,0.979,0.045,0.045,0.006,0.014,0.013,0.009,0.008,0.008,0.139,0,0.006,0.021,0.022,0.022,0.023,0.021,0.021,0.96,0.042,0.042,0.006,0.014,0.014
0.025,0.023,0.023,0.978,0.044,0.044,0.009,0.015,0.015,0.012,0.01,0.012,0.139,0.006,0,0.023,0.024,0.023,0.025,0.023,0.023,0.959,0.041,0.041,0.009,0.015,0.015
0.008,0.01,0.01,0.997,0.06,0.06,0.018,0.013,0.013,0.019,0.019,0.019,0.142,0.021,0.023,0,0.004,0.004,0.008,0.011,0.011,0.978,0.058,0.058,0.018,0.013,0.013
0.007,0.01,0.01,0.998,0.061,0.061,0.019,0.014,0.014,0.019,0.02,0.019,0.145,0.022,0.024,0.004,0,0.002,0.007,0.01,0.01,0.979,0.059,0.059,0.019,0.014,0.014
0.008,0.01,0.01,0.997,0.061,0.061,0.019,0.013,0.013,0.018,0.02,0.019,0.145,0.022,0.023,0.004,0.002,0,0.008,0.011,0.011,0.979,0.058,0.058,0.019,0.013,0.013
0,0.007,0.007,1,0.063,0.063,0.02,0.015,0.015,0.019,0.02,0.02,0.145,0.023,0.025,0.008,0.007,0.008,0,0.007,0.007,0.981,0.061,0.061,0.02,0.015,0.015
0.007,0.001,0.001,0.997,0.062,0.062,0.018,0.016,0.016,0.017,0.019,0.018,0.142,0.021,0.023,0.011,0.01,0.011,0.007,0,0.001,0.979,0.059,0.059,0.018,0.016,0.016
0.007,0.001,0.001,0.998,0.063,0.063,0.019,0.017,0.017,0.018,0.019,0.018,0.142,0.021,0.023,0.011,0.01,0.011,0.007,0.001,0,0.979,0.06,0.06,0.019,0.017,0.017
0.981,0.979,0.98,0.082,0.927,0.927,0.963,0.969,0.968,0.964,0.963,0.963,0.962,0.96,0.959,0.978,0.979,0.979,0.981,0.979,0.979,0,0.928,0.928,0.963,0.969,0.969
