"IdEstablecimiento","vrs_2014","vrs_2015","vrs_2016","vrs_2017","vrs_2018","vrs_2019","vrs_2020","promedio_vrs"
115112,0.629,0.676,0.742,0.759,0.709,0.574,0.738,0.689571428571429
115113,0.943,0.979,1,0.964,0.991,0.994,1,0.981571428571429
115114,0.927,1,1,1,1,1,1,0.989571428571429
116100,0.759,0.716,0.76,0.844,0.95,0.889,0.97,0.841142857142857
116101,0.627,0.848,0.756,0.911,0.811,0.712,1,0.809285714285714
116102,0.372,0.615,0.569,0.681,0.654,0.566,0.598,0.579285714285714
116103,0.785,0.919,0.836,0.855,0.921,0.791,0.819,0.846571428571429
116104,0.655,0.876,0.771,0.828,0.953,0.916,0.952,0.850142857142857
116105,0.784,0.786,1,1,1,1,1,0.938571428571429
116106,0.675,0.857,0.884,0.839,1,0.942,0.899,0.870857142857143
116107,0.557,0.653,0.527,0.684,0.579,0.55,1,0.65
116108,0.78,0.759,0.816,1,0.909,0.889,0.962,0.873571428571429
116109,0.492,0.674,0.42,0.653,0.493,0.524,0.931,0.598142857142857
116110,0.554,0.697,0.543,1,0.667,0.689,1,0.735714285714286
116111,0.514,0.719,0.597,1,0.645,0.641,1,0.730857142857143
116112,0.625,0.731,0.817,0.952,0.834,0.866,0.861,0.812285714285714
117101,0.748,0.728,0.759,0.863,0.765,0.734,0.864,0.780142857142857
117102,0.748,0.627,0.788,0.723,0.703,0.653,0.895,0.733857142857143
117103,0.407,0.527,0.466,0.572,0.521,0.555,0.635,0.526142857142857
117104,0.438,0.61,0.563,0.632,0.613,0.647,0.69,0.599
117106,0.405,0.541,0.503,0.603,0.556,0.586,0.587,0.540142857142857
117107,0.481,0.58,0.605,0.6,0.597,0.576,0.683,0.588857142857143
117108,0.334,0.417,0.401,0.487,0.526,0.559,0.589,0.473285714285714
118100,0.756,0.73,0.689,0.92,0.895,0.944,1,0.847714285714286
118103,0.847,0.769,0.915,1,1,1,1,0.933
118105,0.59,0.69,0.49,0.981,0.614,0.572,0.873,0.687142857142857
118106,0.452,0.55,0.407,0.473,0.336,0.564,0.608,0.484285714285714
118107,0.418,0.555,0.526,0.76,0.816,0.785,0.796,0.665142857142857
