"","Variable","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Frecuencia","Promedio_Pre_Pandemia","Promedio_Pandemia"
"X1010210","X1010210",NA,NA,NA,0.00256234162628048,0.00678201405467375,0.00305503869646091,NA,NA,NA,NA,3,0.00413313145913838,NA
"X17070700","X17070700",0.000243232095267124,0.000703747654030167,0.000979765869512723,0.00599370107373213,NA,0.0115625329260332,NA,NA,NA,NA,5,0.00389659592371506,NA
"Datos.Establecimiento.Dias.Cama.Disponibles","Datos.Establecimiento.Dias.Cama.Disponibles",NA,NA,NA,0.00220717609942265,0.00307771608288056,0.00498923133929125,NA,NA,NA,NA,3,0.00342470784053149,NA
"X28014800","X28014800",NA,NA,NA,0.000544035498715641,0.0082966729996486,0.000995541671697905,NA,NA,NA,NA,3,0.00327875005668738,NA
"X1011514","X1011514",NA,NA,NA,NA,0.00325949827560093,NA,NA,NA,NA,NA,1,0.00325949827560093,NA
"X23030605","X23030605",NA,NA,NA,0.00314964116254999,NA,NA,NA,NA,NA,NA,1,0.00314964116254999,NA
"X17200810","X17200810",NA,NA,NA,NA,0.00316892842035142,0.00306789396741733,NA,0.000120200555282575,0.00211280607621558,NA,4,0.00311841119388438,0.00111650331574908
"X09400090","X09400090",NA,NA,NA,0.00297116642970407,NA,NA,NA,NA,NA,NA,1,0.00297116642970407,NA
"X28012600","X28012600",0.00294769117404969,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.00294769117404969,NA
"X28020500","X28020500",NA,NA,NA,0.00062406154170497,0.00761429856090543,0.000583257486169429,NA,NA,NA,NA,3,0.00294053919625994,NA
"X99001070","X99001070",0.000282694633967925,0.00026063311854756,0.000417785891535163,0.00476246356027712,NA,0.00849317474985709,NA,0.00602927763787663,NA,NA,6,0.00284335039083697,0.00602927763787663
"X09220150","X09220150",NA,NA,NA,0.00278857624199933,NA,NA,NA,NA,NA,NA,1,0.00278857624199933,NA
"Datos.Establecimiento.Dias.de.Estada","Datos.Establecimiento.Dias.de.Estada",NA,NA,NA,NA,0.00277504335222957,NA,NA,NA,NA,NA,1,0.00277504335222957,NA
"X28010500","X28010500",NA,NA,0.00270447958372448,NA,NA,NA,NA,NA,NA,NA,1,0.00270447958372448,NA
"Datos.Establecimiento.Dias.Cama.Ocupados","Datos.Establecimiento.Dias.Cama.Ocupados",NA,NA,NA,NA,0.00183420050594399,0.0035090766455318,NA,NA,NA,NA,2,0.0026716385757379,NA
"P6223280","P6223280",NA,NA,0.00265948569391182,NA,NA,NA,NA,NA,NA,NA,1,0.00265948569391182,NA
"X21700701","X21700701",NA,NA,NA,0.00230362973959244,0.00292150198088444,0.00273622522268515,0.000620274321882125,0.00024551812338068,0.00108485103128019,0.00214480432393782,7,0.00265378564772068,0.0010238619501202
"X05051800","X05051800",NA,NA,0.00261953313367075,NA,NA,NA,NA,NA,NA,NA,1,0.00261953313367075,NA
"X99000440","X99000440",NA,NA,NA,0.0037520995837238,0.00215808309922126,0.0013777268029407,NA,9.38828536870417e-05,NA,NA,4,0.00242930316196192,9.38828536870417e-05
