te_input_crs,te_input_vrs,te_input_nirs,te_output_crs,te_output_vrs,te_output_nirs,te_directional_crs,te_directional_vrs,te_directional_nirs,te_input_region_crs,te_input_region_vrs,te_input_region_nirs,te_output_region_crs,te_output_region_vrs,te_output_region_nirs,te_directional_region_crs,te_directional_region_vrs,te_directional_region_nirs,te_input_grd_crs,te_input_grd_vrs,te_input_grd_nirs,te_output_grd_crs,te_output_grd_vrs,te_output_grd_nirs,te_directional_grd_crs,te_directional_grd_vrs,te_directional_grd_nirs
0,0.097,0.07,0.73,0.595,0.614,0.372,0.4,0.397,0.211,0.221,0.216,0.4,0.303,0.382,0.423,0.442,0.436,0.06,0.113,0.092,0.61,0.504,0.519,0.383,0.405,0.399
0.097,0,0.067,0.669,0.541,0.558,0.419,0.457,0.449,0.172,0.176,0.173,0.358,0.251,0.341,0.477,0.496,0.489,0.072,0.042,0.063,0.559,0.458,0.47,0.435,0.464,0.454
0.07,0.067,0,0.705,0.58,0.6,0.408,0.442,0.439,0.188,0.195,0.19,0.382,0.283,0.366,0.465,0.483,0.477,0.063,0.085,0.052,0.587,0.487,0.502,0.422,0.447,0.442
0.73,0.669,0.705,0,0.179,0.174,0.924,0.97,0.953,0.565,0.533,0.555,0.464,0.467,0.47,0.979,1,0.989,0.695,0.648,0.678,0.183,0.274,0.253,0.951,0.984,0.971
0.595,0.541,0.58,0.179,0,0.042,0.79,0.832,0.815,0.445,0.411,0.437,0.354,0.345,0.353,0.842,0.864,0.852,0.563,0.519,0.553,0.174,0.166,0.14,0.816,0.848,0.833
0.614,0.558,0.6,0.174,0.042,0,0.804,0.848,0.829,0.467,0.434,0.46,0.37,0.363,0.37,0.857,0.879,0.866,0.582,0.536,0.573,0.196,0.196,0.166,0.831,0.863,0.848
0.372,0.419,0.408,0.924,0.79,0.804,0,0.065,0.049,0.472,0.502,0.492,0.658,0.571,0.629,0.183,0.187,0.185,0.389,0.428,0.414,0.823,0.726,0.738,0.044,0.077,0.065
0.4,0.457,0.442,0.97,0.832,0.848,0.065,0,0.043,0.51,0.541,0.53,0.696,0.612,0.667,0.172,0.173,0.172,0.422,0.468,0.45,0.864,0.764,0.778,0.047,0.031,0.039
0.397,0.449,0.439,0.953,0.815,0.829,0.049,0.043,0,0.504,0.534,0.524,0.685,0.6,0.655,0.174,0.175,0.174,0.417,0.459,0.446,0.852,0.752,0.764,0.047,0.057,0.039
0.211,0.172,0.188,0.565,0.445,0.467,0.472,0.51,0.504,0,0.089,0.056,0.36,0.228,0.337,0.535,0.548,0.544,0.187,0.161,0.174,0.445,0.346,0.363,0.491,0.52,0.512
0.221,0.176,0.195,0.533,0.411,0.434,0.502,0.541,0.534,0.089,0,0.068,0.29,0.198,0.278,0.56,0.581,0.572,0.19,0.156,0.174,0.415,0.316,0.332,0.523,0.552,0.543
0.216,0.173,0.19,0.555,0.437,0.46,0.492,0.53,0.524,0.056,0.068,0,0.343,0.221,0.333,0.552,0.568,0.564,0.19,0.16,0.175,0.434,0.337,0.353,0.51,0.54,0.531
0.4,0.358,0.382,0.464,0.354,0.37,0.658,0.696,0.685,0.36,0.29,0.343,0,0.202,0.08,0.698,0.733,0.712,0.369,0.336,0.358,0.387,0.314,0.319,0.681,0.709,0.698
0.303,0.251,0.283,0.467,0.345,0.363,0.571,0.612,0.6,0.228,0.198,0.221,0.202,0,0.186,0.623,0.644,0.634,0.275,0.235,0.262,0.363,0.271,0.279,0.592,0.622,0.611
0.382,0.341,0.366,0.47,0.353,0.37,0.629,0.667,0.655,0.337,0.278,0.333,0.08,0.186,0,0.671,0.704,0.682,0.351,0.32,0.341,0.39,0.311,0.317,0.652,0.68,0.67
0.423,0.477,0.465,0.979,0.842,0.857,0.183,0.172,0.174,0.535,0.56,0.552,0.698,0.623,0.671,0,0.059,0.033,0.447,0.488,0.475,0.873,0.772,0.785,0.173,0.172,0.169
