te_input_crs,te_input_vrs,te_input_nirs,te_output_crs,te_output_vrs,te_output_nirs,te_directional_crs,te_directional_vrs,te_directional_nirs,te_input_region_crs,te_input_region_vrs,te_input_region_nirs,te_output_region_crs,te_output_region_vrs,te_output_region_nirs,te_directional_region_crs,te_directional_region_vrs,te_directional_region_nirs,te_input_grd_crs,te_input_grd_vrs,te_input_grd_nirs,te_output_grd_crs,te_output_grd_vrs,te_output_grd_nirs,te_directional_grd_crs,te_directional_grd_vrs,te_directional_grd_nirs
0,0.007,0.007,1,0.066,0.066,0.019,0.015,0.015,0.018,0.019,0.019,0.136,0.022,0.023,0.008,0.007,0.008,0,0.007,0.007,0.954,0.061,0.061,0.019,0.015,0.015
0.007,0,0.001,0.998,0.065,0.065,0.017,0.016,0.016,0.016,0.017,0.017,0.134,0.02,0.021,0.011,0.011,0.011,0.007,0.001,0.001,0.952,0.06,0.06,0.017,0.016,0.016
0.007,0.001,0,0.998,0.065,0.065,0.018,0.017,0.017,0.017,0.018,0.017,0.134,0.02,0.022,0.011,0.011,0.011,0.007,0.001,0.001,0.952,0.06,0.06,0.018,0.017,0.017
1,0.998,0.998,0,0.945,0.945,0.983,0.988,0.987,0.984,0.983,0.983,0.984,0.981,0.979,0.997,0.998,0.998,1,0.998,0.998,0.117,0.949,0.949,0.983,0.988,0.988
0.066,0.065,0.065,0.945,0,0,0.051,0.054,0.053,0.053,0.051,0.052,0.14,0.048,0.048,0.063,0.064,0.063,0.066,0.065,0.065,0.9,0.011,0.011,0.051,0.054,0.053
0.066,0.065,0.065,0.945,0,0,0.051,0.054,0.053,0.053,0.051,0.052,0.14,0.048,0.048,0.063,0.064,0.063,0.066,0.065,0.065,0.9,0.011,0.011,0.051,0.054,0.053
0.019,0.017,0.018,0.983,0.051,0.051,0,0.009,0.009,0.006,0.005,0.006,0.133,0.007,0.009,0.017,0.018,0.018,0.019,0.017,0.018,0.937,0.046,0.046,0,0.009,0.009
0.015,0.016,0.017,0.988,0.054,0.054,0.009,0,0,0.011,0.011,0.011,0.136,0.013,0.014,0.013,0.013,0.013,0.015,0.016,0.017,0.942,0.048,0.048,0.009,0.001,0.001
0.015,0.016,0.017,0.987,0.053,0.053,0.009,0,0,0.011,0.011,0.011,0.136,0.013,0.014,0.013,0.013,0.013,0.015,0.017,0.017,0.941,0.048,0.048,0.009,0.001,0.001
0.018,0.016,0.017,0.984,0.053,0.053,0.006,0.011,0.011,0,0.004,0.003,0.135,0.009,0.011,0.018,0.018,0.018,0.018,0.016,0.016,0.938,0.047,0.047,0.006,0.011,0.011
0.019,0.017,0.018,0.983,0.051,0.051,0.005,0.011,0.011,0.004,0,0.002,0.135,0.007,0.009,0.018,0.019,0.019,0.019,0.017,0.018,0.937,0.046,0.046,0.005,0.011,0.011
0.019,0.017,0.017,0.983,0.052,0.052,0.006,0.011,0.011,0.003,0.002,0,0.135,0.008,0.011,0.018,0.019,0.019,0.019,0.017,0.017,0.937,0.046,0.046,0.006,0.011,0.011
0.136,0.134,0.134,0.984,0.14,0.14,0.133,0.136,0.136,0.135,0.135,0.135,0,0.131,0.131,0.134,0.137,0.136,0.136,0.134,0.134,0.939,0.138,0.138,0.133,0.136,0.136
0.022,0.02,0.02,0.981,0.048,0.048,0.007,0.013,0.013,0.009,0.007,0.008,0.131,0,0.005,0.02,0.021,0.021,0.022,0.02,0.02,0.934,0.043,0.043,0.007,0.013,0.013
0.023,0.021,0.022,0.979,0.048,0.048,0.009,0.014,0.014,0.011,0.009,0.011,0.131,0.005,0,0.022,0.023,0.022,0.023,0.021,0.022,0.933,0.042,0.042,0.009,0.015,0.014
0.008,0.011,0.011,0.997,0.063,0.063,0.017,0.013,0.013,0.018,0.018,0.018,0.134,0.02,0.022,0,0.004,0.003,0.008,0.011,0.011,0.951,0.058,0.058,0.017,0.013,0.013
0.007,0.011,0.011,0.998,0.064,0.064,0.018,0.013,0.013,0.018,0.019,0.019,0.137,0.021,0.023,0.004,0,0.001,0.007,0.011,0.011,0.952,0.059,0.059,0.018,0.013,0.013
